,5b1978274c72120001f1d72b
Pond6Fish10_TotalOutcome,825
Pond6Fish10_TimeLeft,151.569
Pond6_Type,N
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.347
Pond6Fish11_GiveUpTime,-1
Pond6Fish11_PondTime,12.691
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,836
Pond6Fish11_TimeLeft,138.877
Pond6_Type,N
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.216
Pond6Fish12_GiveUpTime,-1
Pond6Fish12_PondTime,14.124
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,847
Pond6Fish12_TimeLeft,124.753
Pond6_Type,N
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.388
Pond6Fish13_GiveUpTime,-1
Pond6Fish13_PondTime,16.089
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,858
Pond6Fish13_TimeLeft,108.663
Pond6_Type,N
Pond6Fish14_FishType,green
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.85
Pond6Fish14_GiveUpTime,-1
Pond6Fish14_PondTime,19.132
Pond6Fish14_PondOutcome,154
Pond6Fish14_TotalOutcome,869
Pond6Fish14_TimeLeft,89.529
Pond6_Type,N
Pond6Fish15_FishType,green
Pond6Fish15_FishLatency,15
Pond6Fish15_CatchTime,1.17
Pond6Fish15_GiveUpTime,-1
Pond6Fish15_PondTime,24.099
Pond6Fish15_PondOutcome,165
Pond6Fish15_TotalOutcome,880
Pond6Fish15_TimeLeft,65.429
Pond6_Type,N
Pond6Fish16_FishType,green
Pond6Fish16_FishLatency,20
Pond6Fish16_CatchTime,0.827
Pond6Fish16_GiveUpTime,-1
Pond6Fish16_PondTime,34.113
Pond6Fish16_PondOutcome,176
Pond6Fish16_TotalOutcome,891
Pond6Fish16_TimeLeft,31.314
