,5d78ffbc9a5f5200169fb6ac
Pond9Fish6_TotalOutcome,924
Pond9Fish6_TimeLeft,284.375
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,-1
Pond9Fish7_PondTime,47.248
Pond9Fish7_PondOutcome,66
Pond9Fish7_TotalOutcome,924
Pond9Fish7_TimeLeft,276.936
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.696
Pond9Fish8_PondTime,55.115
Pond9Fish8_PondOutcome,77
Pond9Fish8_TotalOutcome,935
Pond9Fish8_TimeLeft,269.07
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.309
Pond9Fish9_PondTime,63.499
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,946
Pond9Fish9_TimeLeft,260.686
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,-1
Pond9Fish10_PondTime,72.606
Pond9Fish10_PondOutcome,88
Pond9Fish10_TotalOutcome,946
Pond9Fish10_TimeLeft,251.579
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.828
Pond9Fish11_PondTime,82.504
Pond9Fish11_PondOutcome,99
Pond9Fish11_TotalOutcome,957
Pond9Fish11_TimeLeft,241.681
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.743
Pond9Fish12_PondTime,93.496
Pond9Fish12_PondOutcome,110
Pond9Fish12_TotalOutcome,968
Pond9Fish12_TimeLeft,230.688
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,0.983
Pond9Fish13_PondTime,105.901
Pond9Fish13_PondOutcome,121
Pond9Fish13_TotalOutcome,979
Pond9Fish13_TimeLeft,218.283
Type,N
FishN,15
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,0.741
Pond9Fish14_PondTime,120.306
Pond9Fish14_PondOutcome,132
Pond9Fish14_TotalOutcome,990
Pond9Fish14_TimeLeft,203.879
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.42
PondTime,137.233
TimeLeft,186.446
PondOutcome,132
TotalOutcome,990
PondStart,PondStart
PondIntroTime,15.987803996540606
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.212
Pond1Fish1_PondTime,8.923
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,1001
Pond1Fish1_TimeLeft,160.888
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,16.375
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,1001
Pond1Fish2_TimeLeft,153.436
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.692
Pond1Fish3_PondTime,24.248
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,1012
Pond1Fish3_TimeLeft,145.563
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.033
Pond1Fish4_PondTime,32.633
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,1023
Pond1Fish4_TimeLeft,137.178
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.855
Pond1Fish5_PondTime,41.695
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,1034
Pond1Fish5_TimeLeft,128.116
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.979
Pond1Fish6_PondTime,51.584
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,1045
Pond1Fish6_TimeLeft,118.227
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,-1
Pond1Fish7_PondTime,62.614
Pond1Fish7_PondOutcome,55
Pond1Fish7_TotalOutcome,1045
Pond1Fish7_TimeLeft,107.197
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.938
Pond1Fish8_PondTime,75.024
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,1056
Pond1Fish8_TimeLeft,94.787
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.13
Pond1Fish9_PondTime,89.397
Pond1Fish9_PondOutcome,77
Pond1Fish9_TotalOutcome,1067
Pond1Fish9_TimeLeft,80.414
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,-1
Pond1Fish10_PondTime,106.829
Pond1Fish10_PondOutcome,77
Pond1Fish10_TotalOutcome,1067
Pond1Fish10_TimeLeft,62.982
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.052
Pond1Fish11_PondTime,129.242
Pond1Fish11_PondOutcome,88
Pond1Fish11_TotalOutcome,1078
Pond1Fish11_TimeLeft,40.568
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,13.056
PondTime,141.522
TimeLeft,27.783
PondOutcome,88
TotalOutcome,1078
PondStart,PondStart
PondIntroTime,12.394561714027077
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.056
Pond2Fish1_PondTime,8.922
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,1089
Pond2Fish1_TimeLeft,5.828
