,5dac6532ccaa330016e11e8f
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.054
Pond10Fish2_PondTime,14.928
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,187
Pond10Fish2_TimeLeft,931.039
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.856
Pond10Fish3_PondTime,21.901
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,198
Pond10Fish3_TimeLeft,924.066
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.196
Pond10Fish4_PondTime,29.258
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,209
Pond10Fish4_TimeLeft,916.709
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.164
Pond10Fish5_PondTime,37.083
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,220
Pond10Fish5_TimeLeft,908.884
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,0.911
Pond10Fish6_PondTime,45.441
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,231
Pond10Fish6_TimeLeft,900.526
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.133
Pond10Fish7_PondTime,54.466
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,242
Pond10Fish7_TimeLeft,891.501
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.236
Pond10Fish8_PondTime,64.326
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,253
Pond10Fish8_TimeLeft,881.641
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,0.653
Pond10Fish9_PondTime,75.27
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,264
Pond10Fish9_TimeLeft,870.697
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,0.97
Pond10Fish10_PondTime,87.635
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,275
Pond10Fish10_TimeLeft,858.332
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,10
Pond10Fish11_CatchTime,1.399
Pond10Fish11_PondTime,101.999
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,286
Pond10Fish11_TimeLeft,843.968
Type,N
FishN,17
Fish,12
