,5def63ad2ae0425e87244bff
PlayerDetails,5def63ad2ae0425e87244bff
GameCompleted,declined
Selected ponds in the game,=======
Pond3_Type,N
Pond3_#Fishes,17
Pond10_Type,N
Pond10_#Fishes,13
Pond1_Type,N
Pond1_#Fishes,12
Pond6_Type,N
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:28:22 GMT+0000 (Western European Standard Time)
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.321
Pond3Fish1_PondTime,8.02
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,11
Pond3Fish1_TimeLeft,1194.378
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.018
Pond3Fish2_PondTime,14.381
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,22
Pond3Fish2_TimeLeft,1188.017
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.034
Pond3Fish3_PondTime,21.025
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,33
Pond3Fish3_TimeLeft,1181.373
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.915
Pond3Fish4_PondTime,28.003
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,44
Pond3Fish4_TimeLeft,1174.395
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,-1
Pond3Fish5_PondTime,35.425
Pond3Fish5_PondOutcome,44
Pond3Fish5_TotalOutcome,44
Pond3Fish5_TimeLeft,1166.973
PondEnd_LastFish,5
FishN,17
Type,N
GiveUpTime,12.772
PondTime,39.905
TimeLeft,1161.987
PondOutcome,44
TotalOutcome,44
PondStart,PondStart
PondIntroTime,13.66822229232639
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
