,5d5575339025920017fd271f
Pond3Fish4_TimeLeft,221.596
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.128
Pond3Fish5_PondTime,32.671
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,924
Pond3Fish5_TimeLeft,214.942
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,1.048
Pond3Fish6_PondTime,39.661
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,935
Pond3Fish6_TimeLeft,207.952
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.802
Pond3Fish7_PondTime,47.051
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,946
Pond3Fish7_TimeLeft,200.562
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.706
Pond3Fish8_PondTime,54.873
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,957
Pond3Fish8_TimeLeft,192.74
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.212
Pond3Fish9_PondTime,63.245
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,968
Pond3Fish9_TimeLeft,184.368
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,1.116
Pond3Fish10_PondTime,72.287
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,979
Pond3Fish10_TimeLeft,175.326
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.642
Pond3Fish11_PondTime,82.155
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,990
Pond3Fish11_TimeLeft,165.458
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.001
Pond3Fish12_PondTime,93.096
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,1001
Pond3Fish12_TimeLeft,154.517
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.91
PondTime,93.205
TimeLeft,153.904
PondOutcome,132
TotalOutcome,1001
PondStart,PondStart
PondIntroTime,10.712592059280723
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.898
Pond7Fish1_PondTime,9.759
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,1012
Pond7Fish1_TimeLeft,132.515
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,0.948
Pond7Fish2_PondTime,18.127
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,1023
Pond7Fish2_TimeLeft,124.146
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.265
Pond7Fish3_PondTime,27.172
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,1034
Pond7Fish3_TimeLeft,115.102
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.32
Pond7Fish4_PondTime,37.042
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,1045
Pond7Fish4_TimeLeft,105.232
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.971
Pond7Fish5_PondTime,47.984
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,1056
Pond7Fish5_TimeLeft,94.29
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.863
Pond7Fish6_PondTime,60.358
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,1067
Pond7Fish6_TimeLeft,81.916
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.02
Pond7Fish7_PondTime,74.719
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,1078
Pond7Fish7_TimeLeft,67.555
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.668
PondTime,91.811
TimeLeft,49.956
PondOutcome,77
TotalOutcome,1078
PondStart,PondStart
PondIntroTime,19.663479232694954
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.598
Pond8Fish1_PondTime,8.906
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1089
Pond8Fish1_TimeLeft,20.757
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.915
Pond8Fish2_PondTime,16.293
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,1100
Pond8Fish2_TimeLeft,13.37
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.048
Pond8Fish3_PondTime,24.115
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,1111
Pond8Fish3_TimeLeft,5.548
