,5dbc4d181817ae1f372115bf
Pond5Fish2_TotalOutcome,143
Pond5Fish2_TimeLeft,661.316
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,27.312
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,143
Pond5Fish3_TimeLeft,652.194
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,37.247
Pond5Fish4_PondOutcome,22
Pond5Fish4_TotalOutcome,143
Pond5Fish4_TimeLeft,642.259
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,48.277
Pond5Fish5_PondOutcome,22
Pond5Fish5_TotalOutcome,143
Pond5Fish5_TimeLeft,631.229
