,5d3f63257e89a9000196f790
Pond3Fish6_TimeLeft,1045.265
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.627
Pond3Fish7_PondTime,62.276
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,154
Pond3Fish7_TimeLeft,1034.319
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,0.444
PondTime,73.938
TimeLeft,1022.155
PondOutcome,77
TotalOutcome,154
PondStart,PondStart
PondIntroTime,18.988390893209726
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.29
Pond7Fish1_PondTime,7.8
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,165
Pond7Fish1_TimeLeft,994.75
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.829
Pond7Fish2_PondTime,13.918
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,176
Pond7Fish2_TimeLeft,988.632
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.84
Pond7Fish3_PondTime,20.282
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,187
Pond7Fish3_TimeLeft,982.268
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.805
Pond7Fish4_PondTime,26.934
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,198
Pond7Fish4_TimeLeft,975.616
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.84
Pond7Fish5_PondTime,33.914
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,209
Pond7Fish5_TimeLeft,968.636
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.624
Pond7Fish6_PondTime,41.282
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,220
Pond7Fish6_TimeLeft,961.268
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.791
Pond7Fish7_PondTime,49.099
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,231
Pond7Fish7_TimeLeft,953.451
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.515
Pond7Fish8_PondTime,57.463
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,242
Pond7Fish8_TimeLeft,945.087
PondEnd_LastFish,8
FishN,18
Type,N
GiveUpTime,0.304
PondTime,65.916
TimeLeft,936.131
PondOutcome,88
TotalOutcome,242
PondStart,PondStart
PondIntroTime,11.156561044044793
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,0.675
Pond10Fish1_PondTime,8.899
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,253
Pond10Fish1_TimeLeft,915.454
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.733
Pond10Fish2_PondTime,16.263
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,264
Pond10Fish2_TimeLeft,908.09
Type,N
FishN,17
