,5cc4e12d155841001b26c35f
PlayerDetails,5cc4e12d155841001b26c35f
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,14
Pond12_Type,N
Pond12_#Fishes,13
Pond4_Type,N
Pond4_#Fishes,14
Pond9_Type,N
Pond9_#Fishes,12
Pond8_Type,N
Pond8_#Fishes,18
Pond1_Type,N
Pond1_#Fishes,16
Pond11_Type,N
Pond11_#Fishes,18
Pond7_Type,N
Pond7_#Fishes,18
Pond2_Type,N
Pond2_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,19
Pond3_Type,N
Pond3_#Fishes,16
Pond6_Type,N
Pond6_#Fishes,15
Pond7_Type,N
Pond7_#Fishes,18
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 09:48:06 GMT-0800 (Pacific Standard Time)
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.244
Pond5Fish1_PondTime,8.895
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1193.504
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.303
Pond5Fish2_PondTime,16.266
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1186.133
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.401
Pond5Fish3_PondTime,24.087
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1178.312
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.067
Pond5Fish4_PondTime,32.451
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,44
Pond5Fish4_TimeLeft,1169.948
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.26
Pond5Fish5_PondTime,41.496
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,55
Pond5Fish5_TimeLeft,1160.903
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.39
Pond5Fish6_PondTime,51.366
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,66
Pond5Fish6_TimeLeft,1151.033
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.26
Pond5Fish7_PondTime,62.304
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,77
Pond5Fish7_TimeLeft,1140.095
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.034
Pond5Fish8_PondTime,74.668
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,88
Pond5Fish8_TimeLeft,1127.731
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,1.402
PondTime,75.316
TimeLeft,1126.577
PondOutcome,88
TotalOutcome,88
PondStart,PondStart
PondIntroTime,14.123780583031476
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.543
Pond12Fish1_PondTime,9.295
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,99
Pond12Fish1_TimeLeft,1102.52
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.319
Pond12Fish2_PondTime,17.132
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,110
