,5d3f2ac26a5b1e0016a91a82
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,891
Pond3Fish4_TimeLeft,229.946
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,0.629
Pond3Fish5_PondTime,32.681
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,902
Pond3Fish5_TimeLeft,223.288
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.657
Pond3Fish6_PondTime,39.668
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,913
Pond3Fish6_TimeLeft,216.301
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.669
Pond3Fish7_PondTime,47.048
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,924
Pond3Fish7_TimeLeft,208.921
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.96
Pond3Fish8_PondTime,54.874
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,935
Pond3Fish8_TimeLeft,201.095
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,0.651
Pond3Fish9_PondTime,63.264
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,946
Pond3Fish9_TimeLeft,192.705
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.528
Pond3Fish10_PondTime,72.327
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,957
Pond3Fish10_TimeLeft,183.642
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.513
Pond3Fish11_PondTime,82.216
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,968
Pond3Fish11_TimeLeft,173.753
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.731
Pond3Fish12_PondTime,93.199
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,979
Pond3Fish12_TimeLeft,162.77
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,0.651
PondTime,105.2
TimeLeft,150.26
PondOutcome,132
TotalOutcome,979
PondStart,PondStart
PondIntroTime,11.428243073169142
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.503
Pond6Fish1_PondTime,9.292
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,990
Pond6Fish1_TimeLeft,128.913
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.659
Pond6Fish2_PondTime,17.112
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1001
Pond6Fish2_TimeLeft,121.093
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.569
Pond6Fish3_PondTime,25.506
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1012
Pond6Fish3_TimeLeft,112.698
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.546
Pond6Fish4_PondTime,34.583
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1023
Pond6Fish4_TimeLeft,103.622
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.067
Pond6Fish5_PondTime,44.46
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1034
Pond6Fish5_TimeLeft,93.744
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.905
Pond6Fish6_PondTime,55.393
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1045
Pond6Fish6_TimeLeft,82.812
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.764
Pond6Fish7_PondTime,67.776
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,1056
Pond6Fish7_TimeLeft,70.429
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,0.849
Pond6Fish8_PondTime,82.163
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,1067
Pond6Fish8_TimeLeft,56.042
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,1.015
PondTime,82.241
TimeLeft,55.456
PondOutcome,88
TotalOutcome,1067
PondStart,PondStart
PondIntroTime,16.854857769794762
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,0.819
Pond1Fish1_PondTime,8.572
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,1078
Pond1Fish1_TimeLeft,29.383
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.856
Pond1Fish2_PondTime,15.6
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,1089
Pond1Fish2_TimeLeft,22.355
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,0.568
Pond1Fish3_PondTime,22.982
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,1100
Pond1Fish3_TimeLeft,14.973
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.595
Pond1Fish4_PondTime,30.818
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,1111
Pond1Fish4_TimeLeft,7.137
