,5d3f2ac26a5b1e0016a91a82
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.283
Pond7Fish2_PondTime,15.568
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,165
Pond7Fish2_TimeLeft,1028.141
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.674
Pond7Fish3_PondTime,22.93
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,176
Pond7Fish3_TimeLeft,1020.779
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.833
Pond7Fish4_PondTime,30.766
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,187
Pond7Fish4_TimeLeft,1012.943
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.747
Pond7Fish5_PondTime,39.176
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,198
Pond7Fish5_TimeLeft,1004.533
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.521
Pond7Fish6_PondTime,48.221
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,209
Pond7Fish6_TimeLeft,995.488
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.716
Pond7Fish7_PondTime,58.126
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,220
Pond7Fish7_TimeLeft,985.583
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.092
Pond7Fish8_PondTime,69.108
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,231
Pond7Fish8_TimeLeft,974.601
PondEnd_LastFish,8
FishN,15
Type,N
GiveUpTime,0.537
PondTime,81.082
TimeLeft,962.123
PondOutcome,88
TotalOutcome,231
PondStart,PondStart
PondIntroTime,17.384303172584623
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.798
Pond2Fish1_PondTime,7.622
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,242
Pond2Fish1_TimeLeft,936.505
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.736
Pond2Fish2_PondTime,13.529
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,253
