,5cd323f554644f00188d3f86
GiveUpTime,1.711
PondTime,93.184
TimeLeft,1015.963
PondOutcome,88
TotalOutcome,154
PondStart,PondStart
PondIntroTime,17.845468297600746
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,7.859
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,154
Pond1Fish1_TimeLeft,989.609
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.121
Pond1Fish2_PondTime,13.974
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,165
Pond1Fish2_TimeLeft,983.494
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.155
Pond1Fish3_PondTime,20.334
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,176
Pond1Fish3_TimeLeft,977.134
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.911
Pond1Fish4_PondTime,26.981
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,187
Pond1Fish4_TimeLeft,970.487
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.251
Pond1Fish5_PondTime,33.973
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,198
Pond1Fish5_TimeLeft,963.494
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.253
Pond1Fish6_PondTime,41.331
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,209
Pond1Fish6_TimeLeft,956.137
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.193
Pond1Fish7_PondTime,49.14
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,220
Pond1Fish7_TimeLeft,948.328
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.046
Pond1Fish8_PondTime,57.5
Pond1Fish8_PondOutcome,77
Pond1Fish8_TotalOutcome,231
Pond1Fish8_TimeLeft,939.968
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.53
Pond1Fish9_PondTime,66.524
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,242
Pond1Fish9_TimeLeft,930.943
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.865
Pond1Fish10_PondTime,76.38
Pond1Fish10_PondOutcome,99
Pond1Fish10_TotalOutcome,253
Pond1Fish10_TimeLeft,921.087
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,1.312
PondTime,76.771
TimeLeft,920.191
PondOutcome,99
TotalOutcome,253
