,5cd323f554644f00188d3f86
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,869
Pond7Fish2_TimeLeft,217.171
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,2.024
Pond7Fish3_PondTime,27.188
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,880
Pond7Fish3_TimeLeft,208.083
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.034
Pond7Fish4_PondTime,37.049
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,891
Pond7Fish4_TimeLeft,198.221
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.341
Pond7Fish5_PondTime,47.988
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,902
Pond7Fish5_TimeLeft,187.282
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,0.942
Pond7Fish6_PondTime,60.362
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,913
Pond7Fish6_TimeLeft,174.909
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.268
Pond7Fish7_PondTime,74.732
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,924
Pond7Fish7_TimeLeft,160.539
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.442
Pond7Fish8_PondTime,92.101
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,935
Pond7Fish8_TimeLeft,143.17
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.11
Pond7Fish9_PondTime,114.459
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,946
Pond7Fish9_TimeLeft,120.812
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,20
Pond7Fish10_CatchTime,1.417
Pond7Fish10_PondTime,146.831
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,957
Pond7Fish10_TimeLeft,88.44
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,38.657
PondTime,185.115
TimeLeft,49.648
PondOutcome,110
TotalOutcome,957
PondStart,PondStart
PondIntroTime,14.697930389083922
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.118
Pond8Fish1_PondTime,7.601
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,968
Pond8Fish1_TimeLeft,26.728
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.494
Pond8Fish2_PondTime,13.506
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,979
Pond8Fish2_TimeLeft,20.823
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.893
Pond8Fish3_PondTime,19.618
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,990
Pond8Fish3_TimeLeft,14.71
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.93
Pond8Fish4_PondTime,25.98
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,1001
Pond8Fish4_TimeLeft,8.349
