,5c890051146e370019e07384
Pond5Fish8_PondTime,69.329
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,176
Pond5Fish8_TimeLeft,1048.828
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,8.571428571428571
Pond5Fish9_CatchTime,1.396
Pond5Fish9_PondTime,81.702
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,187
Pond5Fish9_TimeLeft,1036.454
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,10
Pond5Fish10_CatchTime,1.129
Pond5Fish10_PondTime,96.067
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,198
Pond5Fish10_TimeLeft,1022.09
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,11.35
PondTime,106.742
TimeLeft,1010.911
PondOutcome,110
TotalOutcome,198
PondStart,PondStart
PondIntroTime,19.313702629879117
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.132
Pond3Fish1_PondTime,8.035
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,209
Pond3Fish1_TimeLeft,982.931
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.864
Pond3Fish2_PondTime,14.573
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,220
Pond3Fish2_TimeLeft,976.392
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,21.314
Pond3Fish3_PondOutcome,22
Pond3Fish3_TotalOutcome,220
Pond3Fish3_TimeLeft,969.652
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.047
Pond3Fish4_PondTime,28.312
Pond3Fish4_PondOutcome,33
Pond3Fish4_TotalOutcome,231
Pond3Fish4_TimeLeft,962.654
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.928
Pond3Fish5_PondTime,35.685
Pond3Fish5_PondOutcome,44
Pond3Fish5_TotalOutcome,242
Pond3Fish5_TimeLeft,955.281
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.796
Pond3Fish6_PondTime,43.511
Pond3Fish6_PondOutcome,55
Pond3Fish6_TotalOutcome,253
Pond3Fish6_TimeLeft,947.455
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
