,5c334030dd74dc0001e46725
Pond4Fish10_TotalOutcome,880
Pond4Fish10_TimeLeft,229.964
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,1.092
PondTime,88.604
TimeLeft,228.606
PondOutcome,99
TotalOutcome,880
PondStart,PondStart
PondIntroTime,13.29208352835849
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,1.194
Pond10Fish1_PondTime,8.284
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,891
Pond10Fish1_TimeLeft,206.381
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.405
Pond10Fish2_PondTime,14.932
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,902
Pond10Fish2_TimeLeft,199.733
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,1.91
Pond10Fish3_PondTime,22.147
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,913
Pond10Fish3_TimeLeft,192.518
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.212
Pond10Fish4_PondTime,29.514
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,924
Pond10Fish4_TimeLeft,185.15
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.684
Pond10Fish5_PondTime,37.334
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,935
Pond10Fish5_TimeLeft,177.331
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.496
Pond10Fish6_PondTime,45.712
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,946
Pond10Fish6_TimeLeft,168.952
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,1.299
Pond10Fish7_PondTime,54.744
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,957
Pond10Fish7_TimeLeft,159.921
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.806
Pond10Fish8_PondTime,64.724
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,968
Pond10Fish8_TimeLeft,149.941
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,1.455
Pond10Fish9_PondTime,75.698
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,979
Pond10Fish9_TimeLeft,138.967
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.336
Pond10Fish10_PondTime,88.069
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,990
Pond10Fish10_TimeLeft,126.596
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.995
PondTime,88.616
TimeLeft,125.547
PondOutcome,110
TotalOutcome,990
PondStart,PondStart
PondIntroTime,15.273850474040955
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.352
Pond6Fish1_PondTime,7.808
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1001
Pond6Fish1_TimeLeft,101.847
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.334
Pond6Fish2_PondTime,13.927
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1012
Pond6Fish2_TimeLeft,95.728
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.411
Pond6Fish3_PondTime,20.293
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1023
Pond6Fish3_TimeLeft,89.362
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.376
Pond6Fish4_PondTime,26.959
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1034
Pond6Fish4_TimeLeft,82.696
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,1.438
Pond6Fish5_PondTime,33.955
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1045
Pond6Fish5_TimeLeft,75.699
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.061
Pond6Fish6_PondTime,41.324
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1056
Pond6Fish6_TimeLeft,68.331
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.515
Pond6Fish7_PondTime,49.14
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,1067
Pond6Fish7_TimeLeft,60.515
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.471
Pond6Fish8_PondTime,57.522
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,1078
Pond6Fish8_TimeLeft,52.133
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,1.409
Pond6Fish9_PondTime,66.553
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,1089
Pond6Fish9_TimeLeft,43.102
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.593
Pond6Fish10_PondTime,76.424
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,1100
Pond6Fish10_TimeLeft,33.231
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,1.148
PondTime,77.366
TimeLeft,31.786
PondOutcome,110
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,17.87155359517783
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.115
Pond11Fish1_PondTime,8.908
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,1111
Pond11Fish1_TimeLeft,4.387
