,5c334030dd74dc0001e46725
Pond2Fish4_TimeLeft,1023.906
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.129
Pond2Fish5_PondTime,37.24
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,176
Pond2Fish5_TimeLeft,1016.073
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.204
Pond2Fish6_PondTime,45.619
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,187
Pond2Fish6_TimeLeft,1007.694
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.162
Pond2Fish7_PondTime,54.668
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,198
Pond2Fish7_TimeLeft,998.645
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.309
Pond2Fish8_PondTime,64.55
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,209
Pond2Fish8_TimeLeft,988.763
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.104
Pond2Fish9_PondTime,75.498
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,220
Pond2Fish9_TimeLeft,977.815
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.741
PondTime,75.554
TimeLeft,977.256
PondOutcome,99
TotalOutcome,220
PondStart,PondStart
PondIntroTime,10.391977613326162
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.192
Pond3Fish1_PondTime,8.896
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,231
Pond3Fish1_TimeLeft,957.351
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.222
Pond3Fish2_PondTime,16.266
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,242
Pond3Fish2_TimeLeft,949.981
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.052
Pond3Fish3_PondTime,24.097
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,253
Pond3Fish3_TimeLeft,942.149
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.28
Pond3Fish4_PondTime,32.477
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,264
Pond3Fish4_TimeLeft,933.77
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.191
Pond3Fish5_PondTime,41.512
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,275
Pond3Fish5_TimeLeft,924.735
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,1.9
Pond3Fish6_PondTime,51.592
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,286
Pond3Fish6_TimeLeft,914.655
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.166
Pond3Fish7_PondTime,62.527
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,297
Pond3Fish7_TimeLeft,903.72
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,0.809
PondTime,62.714
TimeLeft,903.031
PondOutcome,77
TotalOutcome,297
PondStart,PondStart
PondIntroTime,10.770627886522561
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.008
Pond7Fish1_PondTime,9.731
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,308
Pond7Fish1_TimeLeft,881.905
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.58
Pond7Fish2_PondTime,18.092
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,319
Pond7Fish2_TimeLeft,873.544
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.255
Pond7Fish3_PondTime,27.145
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,330
Pond7Fish3_TimeLeft,864.491
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.12
Pond7Fish4_PondTime,37.03
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,341
Pond7Fish4_TimeLeft,854.606
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,1.54
Pond7Fish5_PondTime,47.986
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,352
Pond7Fish5_TimeLeft,843.649
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.252
Pond7Fish6_PondTime,60.359
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,363
Pond7Fish6_TimeLeft,831.277
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.393
Pond7Fish7_PondTime,74.738
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,374
Pond7Fish7_TimeLeft,816.898
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,12
Pond7Fish8_CatchTime,1.343
Pond7Fish8_PondTime,92.12
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,385
Pond7Fish8_TimeLeft,799.516
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,15
Pond7Fish9_CatchTime,1.735
Pond7Fish9_PondTime,114.532
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,396
Pond7Fish9_TimeLeft,777.104
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.904
PondTime,115.335
TimeLeft,775.797
PondOutcome,99
TotalOutcome,396
PondStart,PondStart
PondIntroTime,11.258804539684206
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,9.349
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,396
Pond5Fish1_TimeLeft,754.558
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.218
Pond5Fish2_PondTime,17.169
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,407
Pond5Fish2_TimeLeft,746.737
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.548
Pond5Fish3_PondTime,25.536
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,418
Pond5Fish3_TimeLeft,738.371
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.174
Pond5Fish4_PondTime,34.573
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,429
Pond5Fish4_TimeLeft,729.334
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.119
Pond5Fish5_PondTime,44.432
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,440
Pond5Fish5_TimeLeft,719.475
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.535
Pond5Fish6_PondTime,55.365
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,451
Pond5Fish6_TimeLeft,708.542
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.21
Pond5Fish7_PondTime,67.745
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,462
Pond5Fish7_TimeLeft,696.162
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.421
Pond5Fish8_PondTime,82.11
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,473
Pond5Fish8_TimeLeft,681.797
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.266
Pond5Fish9_PondTime,99.475
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,484
Pond5Fish9_TimeLeft,664.432
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.196
Pond5Fish10_PondTime,121.855
Pond5Fish10_PondOutcome,99
Pond5Fish10_TotalOutcome,495
Pond5Fish10_TimeLeft,642.051
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,0.636
PondTime,121.89
TimeLeft,641.508
PondOutcome,99
TotalOutcome,495
PondStart,PondStart
PondIntroTime,10.61730983434245
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.355
Pond12Fish1_PondTime,9.732
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,506
Pond12Fish1_TimeLeft,620.503
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.393
Pond12Fish2_PondTime,18.116
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,517
Pond12Fish2_TimeLeft,612.119
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,1.832
Pond12Fish3_PondTime,27.295
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,528
Pond12Fish3_TimeLeft,602.94
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,-1
Pond12Fish4_PondTime,37.245
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,528
Pond12Fish4_TimeLeft,592.99
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.411
Pond12Fish5_PondTime,48.179
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,539
Pond12Fish5_TimeLeft,582.056
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.52
Pond12Fish6_PondTime,60.547
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,550
Pond12Fish6_TimeLeft,569.688
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.459
Pond12Fish7_PondTime,74.908
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,561
Pond12Fish7_TimeLeft,555.327
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.858
PondTime,75.431
TimeLeft,554.302
PondOutcome,66
TotalOutcome,561
PondStart,PondStart
PondIntroTime,14.44229809800163
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.201
Pond1Fish1_PondTime,8.597
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,572
Pond1Fish1_TimeLeft,530.628
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.289
Pond1Fish2_PondTime,15.593
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,583
Pond1Fish2_TimeLeft,523.632
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.361
Pond1Fish3_PondTime,22.975
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,594
Pond1Fish3_TimeLeft,516.25
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.334
Pond1Fish4_PondTime,30.811
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,605
Pond1Fish4_TimeLeft,508.414
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.084
Pond1Fish5_PondTime,39.191
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,616
Pond1Fish5_TimeLeft,500.034
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.347
Pond1Fish6_PondTime,48.225
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,627
Pond1Fish6_TimeLeft,491
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.588
Pond1Fish7_PondTime,58.088
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,638
Pond1Fish7_TimeLeft,481.137
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.621
Pond1Fish8_PondTime,69.027
