,5c08158c06c8ac000117e8b9
Pond1Fish6_TimeLeft,297.559
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.797
PondTime,39.83
TimeLeft,296.845
PondOutcome,66
TotalOutcome,858
PondStart,PondStart
PondIntroTime,11.777290375903249
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.26
Pond12Fish1_PondTime,9.274
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,869
Pond12Fish1_TimeLeft,275.183
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,-1
Pond12Fish2_PondTime,17.146
Pond12Fish2_PondOutcome,11
Pond12Fish2_TotalOutcome,869
Pond12Fish2_TimeLeft,267.311
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.984
Pond12Fish3_PondTime,25.502
Pond12Fish3_PondOutcome,22
Pond12Fish3_TotalOutcome,880
Pond12Fish3_TimeLeft,258.955
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.075
Pond12Fish4_PondTime,34.53
Pond12Fish4_PondOutcome,33
Pond12Fish4_TotalOutcome,891
Pond12Fish4_TimeLeft,249.926
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.216
Pond12Fish5_PondTime,44.402
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,902
Pond12Fish5_TimeLeft,240.055
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.023
Pond12Fish6_PondTime,55.331
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,913
Pond12Fish6_TimeLeft,229.125
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,11.198
PondTime,65.756
TimeLeft,218.197
PondOutcome,55
TotalOutcome,913
PondStart,PondStart
PondIntroTime,14.692622541915625
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.383
Pond10Fish1_PondTime,9.274
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,924
Pond10Fish1_TimeLeft,193.607
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.845
Pond10Fish2_PondTime,17.094
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,935
Pond10Fish2_TimeLeft,185.787
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.701
Pond10Fish3_PondTime,25.464
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,946
Pond10Fish3_TimeLeft,177.417
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.064
Pond10Fish4_PondTime,34.497
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,957
Pond10Fish4_TimeLeft,168.384
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,0.764
PondTime,44.121
TimeLeft,158.257
PondOutcome,44
TotalOutcome,957
PondStart,PondStart
PondIntroTime,12.869846581015736
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,1.157
Pond4Fish1_PondTime,9.724
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,968
Pond4Fish1_TimeLeft,135.045
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,1.057
Pond4Fish2_PondTime,18.09
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,979
Pond4Fish2_TimeLeft,126.679
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,1.319
Pond4Fish3_PondTime,27.127
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,990
Pond4Fish3_TimeLeft,117.642
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,1.091
Pond4Fish4_PondTime,37
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,1001
Pond4Fish4_TimeLeft,107.769
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.872
Pond4Fish5_PondTime,47.928
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,1012
Pond4Fish5_TimeLeft,96.841
PondEnd_LastFish,5
FishN,12
Type,N
GiveUpTime,1.7
PondTime,48.71
TimeLeft,95.555
PondOutcome,55
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,19.623350729234517
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.987
Pond2Fish1_PondTime,9.283
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,1023
Pond2Fish1_TimeLeft,66.032
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.115
Pond2Fish2_PondTime,17.101
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,1034
Pond2Fish2_TimeLeft,58.213
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.982
Pond2Fish3_PondTime,25.465
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,1045
Pond2Fish3_TimeLeft,49.85
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.023
Pond2Fish4_PondTime,34.487
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,1056
Pond2Fish4_TimeLeft,40.828
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.07
Pond2Fish5_PondTime,44.351
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,1067
Pond2Fish5_TimeLeft,30.964
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,0.716
Pond2Fish6_PondTime,55.278
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,1078
Pond2Fish6_TimeLeft,20.037
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,1.679
PondTime,55.873
TimeLeft,18.939
PondOutcome,66
TotalOutcome,1078
PondStart,PondStart
PondIntroTime,13.529037875123322
