,5dacaea50cd3ff0016e3f493
Pond4Fish6_CatchTime,0.828
Pond4Fish6_PondTime,43.201
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,176
Pond4Fish6_TimeLeft,1055.924
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.931
Pond4Fish7_PondTime,51.566
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,187
Pond4Fish7_TimeLeft,1047.559
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.885
Pond4Fish8_PondTime,60.6
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,198
Pond4Fish8_TimeLeft,1038.524
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.809
Pond4Fish9_PondTime,70.467
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,209
Pond4Fish9_TimeLeft,1028.657
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,0.946
Pond4Fish10_PondTime,81.404
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,220
Pond4Fish10_TimeLeft,1017.721
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.694
Pond4Fish11_PondTime,93.769
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,231
Pond4Fish11_TimeLeft,1005.356
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.181
Pond4Fish12_PondTime,108.132
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,242
Pond4Fish12_TimeLeft,990.993
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,1.717
PondTime,109.231
TimeLeft,989.391
PondOutcome,132
TotalOutcome,242
PondStart,PondStart
PondIntroTime,12.64713793527335
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.841
Pond3Fish1_PondTime,8.568
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,253
Pond3Fish1_TimeLeft,967.559
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.964
Pond3Fish2_PondTime,15.551
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,264
Pond3Fish2_TimeLeft,960.576
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.303
Pond3Fish3_PondTime,22.919
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,275
Pond3Fish3_TimeLeft,953.208
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.941
Pond3Fish4_PondTime,30.735
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,286
Pond3Fish4_TimeLeft,945.392
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.766
Pond3Fish5_PondTime,39.101
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,297
Pond3Fish5_TimeLeft,937.026
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.923
Pond3Fish6_PondTime,48.135
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,308
Pond3Fish6_TimeLeft,927.992
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.894
Pond3Fish7_PondTime,58.002
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,319
Pond3Fish7_TimeLeft,918.125
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.885
Pond3Fish8_PondTime,68.934
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,330
Pond3Fish8_TimeLeft,907.193
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.594
Pond3Fish9_PondTime,81.301
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,341
Pond3Fish9_TimeLeft,894.826
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,11.75
PondTime,92.849
TimeLeft,882.775
PondOutcome,99
TotalOutcome,341
PondStart,PondStart
PondIntroTime,17.80637838644907
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.737
Pond5Fish1_PondTime,9.734
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,352
Pond5Fish1_TimeLeft,853.658
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.864
Pond5Fish2_PondTime,18.102
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,363
Pond5Fish2_TimeLeft,845.29
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.934
Pond5Fish3_PondTime,27.133
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,374
Pond5Fish3_TimeLeft,836.259
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.956
Pond5Fish4_PondTime,37
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,385
Pond5Fish4_TimeLeft,826.392
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,0.835
Pond5Fish5_PondTime,47.931
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,396
Pond5Fish5_TimeLeft,815.461
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,-1
Pond5Fish6_PondTime,60.363
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,396
Pond5Fish6_TimeLeft,803.029
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.892
Pond5Fish7_PondTime,74.731
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,407
Pond5Fish7_TimeLeft,788.661
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.417
Pond5Fish8_PondTime,92.098
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,418
Pond5Fish8_TimeLeft,771.294
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,0.754
Pond5Fish9_PondTime,114.465
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,429
Pond5Fish9_TimeLeft,748.927
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,2.371
PondTime,115.801
TimeLeft,747.089
PondOutcome,88
TotalOutcome,429
PondStart,PondStart
PondIntroTime,12.71172939799726
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.933
Pond7Fish1_PondTime,8.897
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,440
Pond7Fish1_TimeLeft,724.864
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.897
Pond7Fish2_PondTime,16.267
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,451
Pond7Fish2_TimeLeft,717.494
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.912
Pond7Fish3_PondTime,24.084
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,462
Pond7Fish3_TimeLeft,709.676
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
