,5d1b2b80f18c6c00017deee4
PondOutcome,110
TotalOutcome,143
PondStart,PondStart
PondIntroTime,11.815605566371232
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.995
Pond9Fish1_PondTime,7.617
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,154
Pond9Fish1_TimeLeft,1046.361
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.849
Pond9Fish2_PondTime,13.516
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,165
Pond9Fish2_TimeLeft,1040.462
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.179
Pond9Fish3_PondTime,19.636
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,176
Pond9Fish3_TimeLeft,1034.342
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.244
Pond9Fish4_PondTime,26.002
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,187
Pond9Fish4_TimeLeft,1027.976
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.272
Pond9Fish5_PondTime,32.654
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,198
Pond9Fish5_TimeLeft,1021.324
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.384
Pond9Fish6_PondTime,39.653
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,209
Pond9Fish6_TimeLeft,1014.324
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,1.105
Pond9Fish7_PondTime,47.025
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,220
Pond9Fish7_TimeLeft,1006.953
