,5cddb06d025b0b001ce92176
Pond12Fish12_FishLatency,12
Pond12Fish12_CatchTime,1.453
Pond12Fish12_PondTime,119.602
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,957
Pond12Fish12_TimeLeft,184.209
Type,N
FishN,17
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,15
Pond12Fish13_CatchTime,1.371
Pond12Fish13_PondTime,141.968
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,968
Pond12Fish13_TimeLeft,161.843
Type,N
FishN,17
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,20
Pond12Fish14_CatchTime,1.382
Pond12Fish14_PondTime,174.334
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,979
Pond12Fish14_TimeLeft,129.476
Type,N
FishN,17
Fish,15
Pond12Fish15_FishType,green
Pond12Fish15_FishLatency,30
Pond12Fish15_CatchTime,1.181
Pond12Fish15_PondTime,236.705
Pond12Fish15_PondOutcome,165
Pond12Fish15_TotalOutcome,990
Pond12Fish15_TimeLeft,67.106
PondEnd_LastFish,15
FishN,16
Type,N
GiveUpTime,1.048
PondTime,237.135
TimeLeft,66.171
PondOutcome,165
TotalOutcome,990
PondStart,PondStart
PondIntroTime,12.833103316370398
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.25
Pond7Fish1_PondTime,7.613
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,1001
Pond7Fish1_TimeLeft,45.064
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.276
Pond7Fish2_PondTime,13.526
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,1012
Pond7Fish2_TimeLeft,39.151
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.48
Pond7Fish3_PondTime,19.647
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,1023
Pond7Fish3_TimeLeft,33.03
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.021
Pond7Fish4_PondTime,26.017
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,1034
Pond7Fish4_TimeLeft,26.66
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.034
Pond7Fish5_PondTime,32.667
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,1045
Pond7Fish5_TimeLeft,20.01
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.564
Pond7Fish6_PondTime,39.648
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,1056
Pond7Fish6_TimeLeft,13.029
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,47.079
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,1056
Pond7Fish7_TimeLeft,5.598
