,taly5
PlayerDetails,taly5
GameCompleted,exited
Selected ponds in the game,=======
Pond10_Type,N
Pond10_#Fishes,14
Pond4_Type,N
Pond4_#Fishes,13
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 19:07:10 GMT+0200 (Israel Standard Time)
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.93
Pond10Fish1_PondTime,9.195
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,11
Pond10Fish1_TimeLeft,1193.202
PondEnd_LastFish,1
FishN,14
Type,N
GiveUpTime,1.386
PondTime,10.467
TimeLeft,1191.422
PondOutcome,11
TotalOutcome,11
PondStart,PondStart
PondIntroTime,15.322908195666969
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.453
Pond4Fish1_PondTime,9.327
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,22
Pond4Fish1_TimeLeft,1166.142
PondEnd_LastFish,1
FishN,13
Type,N
GiveUpTime,1.669
PondTime,10.657
TimeLeft,1164.305
PondOutcome,11
TotalOutcome,22
PondStart,PondStart
PondIntroTime,12.096970463171601
