,Anto20
Pond9Fish10_CatchTime,0.969
Pond9Fish10_PondTime,72.2
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,275
Pond9Fish10_TimeLeft,975.62
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.878
Pond9Fish11_PondTime,82.068
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,286
Pond9Fish11_TimeLeft,965.752
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.313
Pond9Fish12_PondTime,93.002
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,297
Pond9Fish12_TimeLeft,954.818
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.067
Pond9Fish13_PondTime,105.368
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,308
Pond9Fish13_TimeLeft,942.452
Type,N
FishN,15
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.147
Pond9Fish14_PondTime,119.733
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,319
Pond9Fish14_TimeLeft,928.087
Type,N
FishN,15
Fish,15
Pond9Fish15_FishType,green
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,1.077
Pond9Fish15_PondTime,137.101
Pond9Fish15_PondOutcome,165
Pond9Fish15_TotalOutcome,330
Pond9Fish15_TimeLeft,910.719
Type,N
FishN,15
Fish,16
Pond9Fish16_FishType,green
Pond9Fish16_FishLatency,15
Pond9Fish16_CatchTime,0.99
Pond9Fish16_PondTime,159.468
Pond9Fish16_PondOutcome,176
Pond9Fish16_TotalOutcome,341
Pond9Fish16_TimeLeft,888.352
PondEnd_LastFish,16
FishN,19
Type,N
GiveUpTime,24.042
PondTime,182.708
TimeLeft,864.609
PondOutcome,176
TotalOutcome,341
PondStart,PondStart
PondIntroTime,14.153332724235952
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,-1
