,5c6d56378d523e00017b59bc
Pond6Fish1_TimeLeft,244.489
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.795
Pond6Fish2_PondTime,17.163
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,913
Pond6Fish2_TimeLeft,236.621
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.151
Pond6Fish3_PondTime,25.571
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,924
Pond6Fish3_TimeLeft,228.213
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.965
Pond6Fish4_PondTime,34.622
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,935
Pond6Fish4_TimeLeft,219.162
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.135
Pond6Fish5_PondTime,44.507
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,946
Pond6Fish5_TimeLeft,209.277
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,1.134
Pond6Fish6_PondTime,55.481
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,957
Pond6Fish6_TimeLeft,198.303
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,1.151
Pond6Fish7_PondTime,67.857
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,968
Pond6Fish7_TimeLeft,185.927
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.121
Pond6Fish8_PondTime,82.226
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,979
Pond6Fish8_TimeLeft,171.558
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,1.273
Pond6Fish9_PondTime,99.606
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,990
Pond6Fish9_TimeLeft,154.177
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.65
PondTime,99.725
TimeLeft,153.555
PondOutcome,99
TotalOutcome,990
PondStart,PondStart
PondIntroTime,18.708777772262692
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.062
Pond4Fish1_PondTime,9.302
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,1001
Pond4Fish1_TimeLeft,124.893
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.093
Pond4Fish2_PondTime,17.161
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,1012
Pond4Fish2_TimeLeft,117.033
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.241
Pond4Fish3_PondTime,25.57
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,1023
Pond4Fish3_TimeLeft,108.625
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.184
Pond4Fish4_PondTime,34.631
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,1034
Pond4Fish4_TimeLeft,99.564
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,0.645
PondTime,34.647
TimeLeft,99.042
PondOutcome,44
TotalOutcome,1034
PondStart,PondStart
PondIntroTime,18.891843718010932
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.229
Pond1Fish1_PondTime,8.323
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,1045
Pond1Fish1_TimeLeft,71.207
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.183
Pond1Fish2_PondTime,14.999
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,1056
Pond1Fish2_TimeLeft,64.531
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.687
Pond1Fish3_PondTime,22.007
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,1067
Pond1Fish3_TimeLeft,57.523
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.902
Pond1Fish4_PondTime,29.375
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,1078
Pond1Fish4_TimeLeft,50.155
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.012
Pond1Fish5_PondTime,37.209
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,1089
Pond1Fish5_TimeLeft,42.321
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.26
Pond1Fish6_PondTime,45.593
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,1100
Pond1Fish6_TimeLeft,33.937
PondEnd_LastFish,6
FishN,16
Type,N
GiveUpTime,1.44
PondTime,46.498
TimeLeft,32.529
PondOutcome,66
TotalOutcome,1100
PondStart,PondStart
PondIntroTime,15.389317499939352
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.115
Pond9Fish1_PondTime,9.314
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1111
Pond9Fish1_TimeLeft,7.209
