,5dc2c8cc9be08f1e3be48352
PondIntroTime,14.092655926942825
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.186
Pond1Fish1_PondTime,9.748
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,154
Pond1Fish1_TimeLeft,1016.087
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.031
Pond1Fish2_PondTime,18.125
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,165
Pond1Fish2_TimeLeft,1007.711
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.139
Pond1Fish3_PondTime,27.169
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,176
Pond1Fish3_TimeLeft,998.667
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.195
Pond1Fish4_PondTime,37.051
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,187
Pond1Fish4_TimeLeft,988.785
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.021
Pond1Fish5_PondTime,47.998
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,198
Pond1Fish5_TimeLeft,977.838
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,0.901
Pond1Fish6_PondTime,60.374
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,209
Pond1Fish6_TimeLeft,965.462
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,0.805
Pond1Fish7_PondTime,74.759
Pond1Fish7_PondOutcome,77
