,5b7e344a818ce60001ce18cf
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.025
Pond3Fish11_PondTime,93.942
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,176
Pond3Fish11_TimeLeft,1017.31
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.669
Pond3Fish12_PondTime,108.328
Pond3Fish12_PondOutcome,121
Pond3Fish12_TotalOutcome,187
Pond3Fish12_TimeLeft,1002.924
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,-1
Pond3Fish13_PondTime,125.778
Pond3Fish13_PondOutcome,121
Pond3Fish13_TotalOutcome,187
Pond3Fish13_TimeLeft,985.473
PondEnd_LastFish,13
FishN,17
Type,N
GiveUpTime,27.182
PondTime,135.379
TimeLeft,975.369
PondOutcome,121
TotalOutcome,187
PondStart,PondStart
PondIntroTime,19.561332047451288
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,7.883
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,187
Pond6Fish1_TimeLeft,947.308
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.8
Pond6Fish2_PondTime,14.014
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,198
Pond6Fish2_TimeLeft,941.178
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.76
Pond6Fish3_PondTime,20.374
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,209
Pond6Fish3_TimeLeft,934.818
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.902
Pond6Fish4_PondTime,27.062
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,220
