,5ccffd21b09ec90001f3f92e
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,1.339
Pond12Fish11_PondTime,82.669
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,891
Pond12Fish11_TimeLeft,230.403
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,4.262
PondTime,86.469
TimeLeft,226.094
PondOutcome,121
TotalOutcome,891
PondStart,PondStart
PondIntroTime,16.229400322772563
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.123
Pond1Fish1_PondTime,9.266
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,902
Pond1Fish1_TimeLeft,197.983
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.255
Pond1Fish2_PondTime,15.965
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,913
Pond1Fish2_TimeLeft,191.284
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.27
Pond1Fish3_PondTime,23.016
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,924
Pond1Fish3_TimeLeft,184.233
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.418
Pond1Fish4_PondTime,30.448
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,935
Pond1Fish4_TimeLeft,176.801
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.369
Pond1Fish5_PondTime,38.309
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,946
Pond1Fish5_TimeLeft,168.94
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.328
Pond1Fish6_PondTime,46.745
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,957
Pond1Fish6_TimeLeft,160.504
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.354
Pond1Fish7_PondTime,55.824
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,968
Pond1Fish7_TimeLeft,151.425
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.26
Pond1Fish8_PondTime,65.694
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,979
Pond1Fish8_TimeLeft,141.555
PondEnd_LastFish,8
FishN,16
Type,N
GiveUpTime,1.028
PondTime,66.186
TimeLeft,140.555
PondOutcome,88
TotalOutcome,979
PondStart,PondStart
PondIntroTime,10.777417025528848
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.518
Pond3Fish1_PondTime,8.603
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,990
Pond3Fish1_TimeLeft,120.551
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.018
Pond3Fish2_PondTime,15.665
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,1001
Pond3Fish2_TimeLeft,113.489
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.391
Pond3Fish3_PondTime,23.092
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,1012
Pond3Fish3_TimeLeft,106.062
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.074
Pond3Fish4_PondTime,30.984
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,1023
Pond3Fish4_TimeLeft,98.17
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.176
Pond3Fish5_PondTime,39.375
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,1034
Pond3Fish5_TimeLeft,89.779
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.368
Pond3Fish6_PondTime,48.48
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,1045
Pond3Fish6_TimeLeft,80.674
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.145
Pond3Fish7_PondTime,58.364
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,1056
Pond3Fish7_TimeLeft,70.79
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.325
Pond3Fish8_PondTime,69.4
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,1067
Pond3Fish8_TimeLeft,59.754
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.929
Pond3Fish9_PondTime,82.026
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,1078
Pond3Fish9_TimeLeft,47.128
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,0.76
PondTime,82.684
TimeLeft,45.96
PondOutcome,99
TotalOutcome,1078
PondStart,PondStart
PondIntroTime,15.244740834459662
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.163
Pond5Fish1_PondTime,8.581
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,1089
Pond5Fish1_TimeLeft,21.507
PondEnd_LastFish,1
FishN,15
Type,N
GiveUpTime,1.605
PondTime,9.555
TimeLeft,20.03
PondOutcome,11
TotalOutcome,1089
PondStart,PondStart
PondIntroTime,10.019177603535354
