,5cd07e08db3fce00135afd9c
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.41
Pond10Fish8_PondTime,68.986
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,913
Pond10Fish8_TimeLeft,191.979
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,0.954
Pond10Fish9_PondTime,81.352
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,924
Pond10Fish9_TimeLeft,179.613
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.924
Pond10Fish10_PondTime,95.719
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,935
Pond10Fish10_TimeLeft,165.246
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.302
Pond10Fish11_PondTime,113.086
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,946
Pond10Fish11_TimeLeft,147.878
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,1.051
PondTime,113.653
TimeLeft,146.81
PondOutcome,110
TotalOutcome,946
PondStart,PondStart
PondIntroTime,17.29243569308892
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.002
Pond12Fish1_PondTime,8.269
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,957
Pond12Fish1_TimeLeft,120.627
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.202
Pond12Fish2_PondTime,14.918
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,968
Pond12Fish2_TimeLeft,113.978
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.417
Pond12Fish3_PondTime,21.901
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,979
Pond12Fish3_TimeLeft,106.995
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.963
Pond12Fish4_PondTime,29.268
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,990
Pond12Fish4_TimeLeft,99.628
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.85
Pond12Fish5_PondTime,37.086
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,1001
Pond12Fish5_TimeLeft,91.81
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.155
Pond12Fish6_PondTime,45.451
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,1012
Pond12Fish6_TimeLeft,83.445
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.01
Pond12Fish7_PondTime,54.486
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,1023
Pond12Fish7_TimeLeft,74.41
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.71
Pond12Fish8_PondTime,64.353
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,1034
Pond12Fish8_TimeLeft,64.543
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,1.025
Pond12Fish9_PondTime,75.284
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,1045
Pond12Fish9_TimeLeft,53.612
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,8.571428571428571
Pond12Fish10_CatchTime,0.963
Pond12Fish10_PondTime,87.652
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,1056
Pond12Fish10_TimeLeft,41.244
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,2.543
PondTime,89.36
TimeLeft,39.034
PondOutcome,110
TotalOutcome,1056
PondStart,PondStart
PondIntroTime,13.064662276301533
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.9
Pond7Fish1_PondTime,9.267
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,1067
Pond7Fish1_TimeLeft,16.096
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.701
Pond7Fish2_PondTime,17.084
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,1078
Pond7Fish2_TimeLeft,8.279
