,5dcee15fa6438002940762a7
Pond10Fish10_TotalOutcome,924
Pond10Fish10_TimeLeft,76.505
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,1.346
PondTime,147.644
TimeLeft,75.125
PondOutcome,110
TotalOutcome,924
PondStart,PondStart
PondIntroTime,15.835399380885065
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.981
Pond11Fish1_PondTime,8.548
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,935
Pond11Fish1_TimeLeft,50.124
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.86
Pond11Fish2_PondTime,15.532
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,946
Pond11Fish2_TimeLeft,43.14
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,0.968
Pond11Fish3_PondTime,22.898
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,957
Pond11Fish3_TimeLeft,35.774
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.198
Pond11Fish4_PondTime,30.717
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,968
Pond11Fish4_TimeLeft,27.955
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.808
Pond11Fish5_PondTime,39.081
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,979
Pond11Fish5_TimeLeft,19.591
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,-1
Pond11Fish6_PondTime,48.182
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,979
Pond11Fish6_TimeLeft,10.49
