,5c1add5a3b09a900014c74e5
Pond11Fish6_CatchTime,1.258
Pond11Fish6_PondTime,48.198
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,176
Pond11Fish6_TimeLeft,1062.503
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,1.025
Pond11Fish7_PondTime,58.081
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,187
Pond11Fish7_TimeLeft,1052.62
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,1.037
Pond11Fish8_PondTime,69.064
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,198
Pond11Fish8_TimeLeft,1041.637
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,1.122
Pond11Fish9_PondTime,81.43
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,209
Pond11Fish9_TimeLeft,1029.271
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,2.89
PondTime,83.654
TimeLeft,1026.545
PondOutcome,99
TotalOutcome,209
PondStart,PondStart
PondIntroTime,17.847387853544205
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,1.071
Pond1Fish1_PondTime,9.282
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,220
Pond1Fish1_TimeLeft,998.792
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.18
Pond1Fish2_PondTime,17.116
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,231
Pond1Fish2_TimeLeft,990.958
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.21
Pond1Fish3_PondTime,25.481
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,242
Pond1Fish3_TimeLeft,982.593
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.03
Pond1Fish4_PondTime,34.53
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,253
Pond1Fish4_TimeLeft,973.544
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.567
Pond1Fish5_PondTime,44.396
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,264
Pond1Fish5_TimeLeft,963.678
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.253
Pond1Fish6_PondTime,55.328
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,275
Pond1Fish6_TimeLeft,952.746
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.369
Pond1Fish7_PondTime,67.695
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,286
Pond1Fish7_TimeLeft,940.379
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,1.605
Pond1Fish8_PondTime,82.077
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,297
Pond1Fish8_TimeLeft,925.997
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,0.96
Pond1Fish9_PondTime,99.461
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,308
Pond1Fish9_TimeLeft,908.613
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.879
PondTime,99.501
TimeLeft,908.07
PondOutcome,99
