,5c6eddd631a6c600011029ba
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.734
Pond7Fish3_PondTime,24.516
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,176
Pond7Fish3_TimeLeft,1017.679
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.985
Pond7Fish4_PondTime,32.881
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,187
Pond7Fish4_TimeLeft,1009.314
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.491
Pond7Fish5_PondTime,41.911
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,198
Pond7Fish5_TimeLeft,1000.284
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.472
Pond7Fish6_PondTime,51.778
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,209
Pond7Fish6_TimeLeft,990.417
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.752
Pond7Fish7_PondTime,62.715
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,220
Pond7Fish7_TimeLeft,979.48
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.054
Pond7Fish8_PondTime,75.079
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,231
Pond7Fish8_TimeLeft,967.115
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.262
Pond7Fish9_PondTime,89.477
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,242
Pond7Fish9_TimeLeft,952.718
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.878
Pond7Fish10_PondTime,107.043
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,253
Pond7Fish10_TimeLeft,935.152
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,0.938
Pond7Fish11_PondTime,129.456
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,264
Pond7Fish11_TimeLeft,912.739
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,0.491
PondTime,161.428
TimeLeft,880.264
PondOutcome,121
TotalOutcome,264
PondStart,PondStart
PondIntroTime,18.687943818513304
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.918
Pond5Fish1_PondTime,7.798
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,275
Pond5Fish1_TimeLeft,853.159
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.937
Pond5Fish2_PondTime,13.914
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,286
Pond5Fish2_TimeLeft,847.043
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.884
Pond5Fish3_PondTime,20.282
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,297
Pond5Fish3_TimeLeft,840.675
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.913
Pond5Fish4_PondTime,26.93
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,308
Pond5Fish4_TimeLeft,834.027
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.127
Pond5Fish5_PondTime,33.901
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,319
Pond5Fish5_TimeLeft,827.056
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.98
Pond5Fish6_PondTime,41.264
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,330
Pond5Fish6_TimeLeft,819.693
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.46
Pond5Fish7_PondTime,49.104
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,341
Pond5Fish7_TimeLeft,811.853
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.884
Pond5Fish8_PondTime,57.464
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,352
Pond5Fish8_TimeLeft,803.493
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1
Pond5Fish9_PondTime,66.5
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,363
Pond5Fish9_TimeLeft,794.457
PondEnd_LastFish,9
FishN,18
Type,N
GiveUpTime,0.478
PondTime,76.038
TimeLeft,784.417
PondOutcome,99
TotalOutcome,363
PondStart,PondStart
PondIntroTime,18.520637813489884
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.954
Pond11Fish1_PondTime,9.731
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,374
Pond11Fish1_TimeLeft,755.545
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.892
Pond11Fish2_PondTime,18.095
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,385
Pond11Fish2_TimeLeft,747.181
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.803
Pond11Fish3_PondTime,27.127
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,396
Pond11Fish3_TimeLeft,738.148
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,0.452
PondTime,36.429
TimeLeft,728.344
PondOutcome,33
TotalOutcome,396
PondStart,PondStart
PondIntroTime,11.410099202767015
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.956
Pond8Fish1_PondTime,8.565
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,407
Pond8Fish1_TimeLeft,707.749
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.886
Pond8Fish2_PondTime,15.547
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,418
Pond8Fish2_TimeLeft,700.767
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.051
Pond8Fish3_PondTime,22.919
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,429
Pond8Fish3_TimeLeft,693.395
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.957
Pond8Fish4_PondTime,30.733
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,440
Pond8Fish4_TimeLeft,685.581
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.815
Pond8Fish5_PondTime,39.102
