,5c07f9ce7ce1dd0001a4efec
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.761
Pond12Fish5_PondTime,32.621
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,176
Pond12Fish5_TimeLeft,1062.798
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,1.193
Pond12Fish6_PondTime,39.597
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,187
Pond12Fish6_TimeLeft,1055.822
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,1.081
Pond12Fish7_PondTime,46.958
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,198
Pond12Fish7_TimeLeft,1048.461
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.743
Pond12Fish8_PondTime,54.767
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,209
Pond12Fish8_TimeLeft,1040.652
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,0.898
Pond12Fish9_PondTime,63.126
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,220
Pond12Fish9_TimeLeft,1032.293
Type,N
FishN,17
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,1.081
Pond12Fish10_PondTime,72.152
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,231
Pond12Fish10_TimeLeft,1023.267
Type,N
FishN,17
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,0.879
Pond12Fish11_PondTime,82.008
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,242
Pond12Fish11_TimeLeft,1013.411
Type,N
FishN,17
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,1.323
Pond12Fish12_PondTime,92.949
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,253
Pond12Fish12_TimeLeft,1002.47
Type,N
FishN,17
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,1.776
Pond12Fish13_PondTime,105.386
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,264
Pond12Fish13_TimeLeft,990.033
Type,N
FishN,17
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,1.258
Pond12Fish14_PondTime,119.757
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,275
Pond12Fish14_TimeLeft,975.662
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,9.198
PondTime,128.418
TimeLeft,966.497
PondOutcome,154
TotalOutcome,275
PondStart,PondStart
PondIntroTime,14.210786102339625
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.52
Pond6Fish1_PondTime,8.893
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,286
Pond6Fish1_TimeLeft,942.443
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,0.969
Pond6Fish2_PondTime,16.253
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,297
Pond6Fish2_TimeLeft,935.083
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,1.198
Pond6Fish3_PondTime,24.063
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,308
Pond6Fish3_TimeLeft,927.273
Type,N
FishN,18
