,5c1522f64c29140001cdad7e
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,913
Pond11Fish1_TimeLeft,247.723
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.031
Pond11Fish2_PondTime,14.381
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,924
Pond11Fish2_TimeLeft,241.359
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.077
Pond11Fish3_PondTime,21.03
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,935
Pond11Fish3_TimeLeft,234.71
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.921
Pond11Fish4_PondTime,28.012
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,946
Pond11Fish4_TimeLeft,227.728
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.936
Pond11Fish5_PondTime,35.381
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,957
Pond11Fish5_TimeLeft,220.359
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.1
Pond11Fish6_PondTime,43.192
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,968
Pond11Fish6_TimeLeft,212.548
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.023
Pond11Fish7_PondTime,51.558
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,979
Pond11Fish7_TimeLeft,204.182
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.786
Pond11Fish8_PondTime,60.686
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,990
Pond11Fish8_TimeLeft,195.054
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.015
Pond11Fish9_PondTime,70.551
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,1001
Pond11Fish9_TimeLeft,185.189
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.777
Pond11Fish10_PondTime,81.485
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,1012
Pond11Fish10_TimeLeft,174.255
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,0.991
Pond11Fish11_PondTime,93.845
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,1023
Pond11Fish11_TimeLeft,161.895
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.986
PondTime,94.029
TimeLeft,161.209
PondOutcome,121
TotalOutcome,1023
PondStart,PondStart
PondIntroTime,11.904388659168035
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.367
Pond8Fish1_PondTime,8.895
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1034
Pond8Fish1_TimeLeft,139.784
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.179
Pond8Fish2_PondTime,16.262
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,1045
Pond8Fish2_TimeLeft,132.417
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.972
Pond8Fish3_PondTime,24.077
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,1056
Pond8Fish3_TimeLeft,124.602
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.102
Pond8Fish4_PondTime,32.44
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,1067
Pond8Fish4_TimeLeft,116.239
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.127
Pond8Fish5_PondTime,41.472
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,1078
Pond8Fish5_TimeLeft,107.207
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.144
Pond8Fish6_PondTime,51.335
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,1089
Pond8Fish6_TimeLeft,97.343
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.643
Pond8Fish7_PondTime,62.267
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,1100
Pond8Fish7_TimeLeft,86.412
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.281
Pond8Fish8_PondTime,74.63
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,1111
Pond8Fish8_TimeLeft,74.049
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.914
PondTime,75.025
TimeLeft,73.15
PondOutcome,88
TotalOutcome,1111
PondStart,PondStart
PondIntroTime,15.556503285188228
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.055
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1122
Pond9Fish1_TimeLeft,48.404
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.103
Pond9Fish2_PondTime,15.547
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1133
Pond9Fish2_TimeLeft,41.422
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.035
Pond9Fish3_PondTime,22.911
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1144
Pond9Fish3_TimeLeft,34.058
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.032
Pond9Fish4_PondTime,30.73
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1155
Pond9Fish4_TimeLeft,26.24
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.938
Pond9Fish5_PondTime,39.091
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,1166
Pond9Fish5_TimeLeft,17.879
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.135
Pond9Fish6_PondTime,48.12
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,1177
Pond9Fish6_TimeLeft,8.85
