,5c1522f64c29140001cdad7e
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.103
Pond4Fish7_PondTime,54.488
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,176
Pond4Fish7_TimeLeft,1022
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.988
Pond4Fish8_PondTime,64.352
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,187
Pond4Fish8_TimeLeft,1012.136
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.727
Pond4Fish9_PondTime,75.284
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,198
Pond4Fish9_TimeLeft,1001.204
PondEnd_LastFish,9
FishN,16
Type,N
GiveUpTime,0.755
PondTime,87.632
TimeLeft,988.353
PondOutcome,99
TotalOutcome,198
PondStart,PondStart
PondIntroTime,17.195378134492785
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,-1
Pond12Fish1_PondTime,9.348
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,209
Pond12Fish1_TimeLeft,961.184
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.624
Pond12Fish2_PondTime,17.163
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,220
Pond12Fish2_TimeLeft,953.369
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.045
Pond12Fish3_PondTime,25.529
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,231
Pond12Fish3_TimeLeft,945.003
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.234
Pond12Fish4_PondTime,34.56
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,242
Pond12Fish4_TimeLeft,935.972
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,0.787
Pond12Fish5_PondTime,44.426
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,253
Pond12Fish5_TimeLeft,926.106
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,1.105
Pond12Fish6_PondTime,55.356
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,264
Pond12Fish6_TimeLeft,915.175
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,0.75
Pond12Fish7_PondTime,67.719
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,275
Pond12Fish7_TimeLeft,902.813
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,0.783
Pond12Fish8_PondTime,82.085
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,286
Pond12Fish8_TimeLeft,888.444
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,-1
Pond12Fish9_PondTime,99.509
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,286
Pond12Fish9_TimeLeft,871.023
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,19.566
PondTime,100.645
TimeLeft,869.382
PondOutcome,88
TotalOutcome,286
PondStart,PondStart
PondIntroTime,15.221315366216004
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.152
Pond10Fish1_PondTime,7.799
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,297
Pond10Fish1_TimeLeft,845.744
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.949
Pond10Fish2_PondTime,13.915
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,308
Pond10Fish2_TimeLeft,839.628
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.024
Pond10Fish3_PondTime,20.279
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,319
Pond10Fish3_TimeLeft,833.264
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.264
Pond10Fish4_PondTime,26.928
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,330
Pond10Fish4_TimeLeft,826.615
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,0.984
Pond10Fish5_PondTime,33.912
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,341
Pond10Fish5_TimeLeft,819.631
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.998
Pond10Fish6_PondTime,41.571
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,352
Pond10Fish6_TimeLeft,811.972
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.169
Pond10Fish7_PondTime,49.39
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,363
Pond10Fish7_TimeLeft,804.153
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.639
Pond10Fish8_PondTime,57.753
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,374
Pond10Fish8_TimeLeft,795.79
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.981
Pond10Fish9_PondTime,66.784
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,385
Pond10Fish9_TimeLeft,786.759
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,0.902
Pond10Fish10_PondTime,76.648
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,396
Pond10Fish10_TimeLeft,776.895
PondEnd_LastFish,10
FishN,18
Type,N
GiveUpTime,0.509
PondTime,87.32
TimeLeft,765.721
PondOutcome,110
TotalOutcome,396
PondStart,PondStart
PondIntroTime,12.439035649877042
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,0.996
Pond3Fish1_PondTime,8.031
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,407
Pond3Fish1_TimeLeft,744.637
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.854
Pond3Fish2_PondTime,14.397
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,418
Pond3Fish2_TimeLeft,738.271
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.965
Pond3Fish3_PondTime,21.045
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,429
Pond3Fish3_TimeLeft,731.623
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.775
Pond3Fish4_PondTime,28.028
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,440
Pond3Fish4_TimeLeft,724.64
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.898
Pond3Fish5_PondTime,35.395
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,451
Pond3Fish5_TimeLeft,717.273
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.165
Pond3Fish6_PondTime,43.206
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,462
Pond3Fish6_TimeLeft,709.462
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.976
Pond3Fish7_PondTime,51.572
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,473
Pond3Fish7_TimeLeft,701.096
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,1.074
Pond3Fish8_PondTime,60.605
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,484
Pond3Fish8_TimeLeft,692.063
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,1.056
Pond3Fish9_PondTime,70.468
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,495
Pond3Fish9_TimeLeft,682.2
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.366
Pond3Fish10_PondTime,81.398
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,506
Pond3Fish10_TimeLeft,671.27
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.474
Pond3Fish11_PondTime,93.761
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,517
Pond3Fish11_TimeLeft,658.907
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.095
Pond3Fish12_PondTime,108.124
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,528
Pond3Fish12_TimeLeft,644.544
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,12
Pond3Fish13_CatchTime,1.156
Pond3Fish13_PondTime,125.487
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,539
Pond3Fish13_TimeLeft,627.181
PondEnd_LastFish,13
FishN,17
Type,N
GiveUpTime,0.866
PondTime,125.717
TimeLeft,626.447
PondOutcome,143
TotalOutcome,539
PondStart,PondStart
PondIntroTime,12.587766288779676
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.285
Pond6Fish1_PondTime,7.798
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,550
Pond6Fish1_TimeLeft,605.437
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,1.051
Pond6Fish2_PondTime,13.914
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,561
Pond6Fish2_TimeLeft,599.321
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.301
Pond6Fish3_PondTime,20.279
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,572
Pond6Fish3_TimeLeft,592.956
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.9
Pond6Fish4_PondTime,26.926
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,583
Pond6Fish4_TimeLeft,586.308
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.858
Pond6Fish5_PondTime,33.91
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,594
Pond6Fish5_TimeLeft,579.325
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.501
Pond6Fish6_PondTime,41.278
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,605
Pond6Fish6_TimeLeft,571.957
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.978
Pond6Fish7_PondTime,49.088
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,616
Pond6Fish7_TimeLeft,564.147
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,1.853
Pond6Fish8_PondTime,57.62
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,627
Pond6Fish8_TimeLeft,555.615
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.954
Pond6Fish9_PondTime,66.65
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,638
Pond6Fish9_TimeLeft,546.585
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,1.047
Pond6Fish10_PondTime,76.514
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,649
Pond6Fish10_TimeLeft,536.721
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.028
Pond6Fish11_PondTime,87.446
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,660
Pond6Fish11_TimeLeft,525.789
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,1.178
Pond6Fish12_PondTime,99.81
Pond6Fish12_PondOutcome,132
Pond6Fish12_TotalOutcome,671
Pond6Fish12_TimeLeft,513.425
Type,N
FishN,18
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.239
Pond6Fish13_PondTime,114.207
Pond6Fish13_PondOutcome,143
Pond6Fish13_TotalOutcome,682
