,5c33821f6f160f00013489cb
Pond10Fish1_TimeLeft,968.719
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.883
Pond10Fish2_PondTime,18.147
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,187
Pond10Fish2_TimeLeft,960.32
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.744
Pond10Fish3_PondTime,27.232
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,198
Pond10Fish3_TimeLeft,951.236
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.08
Pond10Fish4_PondTime,37.092
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,209
Pond10Fish4_TimeLeft,941.376
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.146
Pond10Fish5_PondTime,48.035
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,220
Pond10Fish5_TimeLeft,930.433
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.347
Pond10Fish6_PondTime,60.401
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,231
Pond10Fish6_TimeLeft,918.067
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.789
Pond10Fish7_PondTime,74.767
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,242
Pond10Fish7_TimeLeft,903.701
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.473
Pond10Fish8_PondTime,92.182
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,253
Pond10Fish8_TimeLeft,886.286
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.38
Pond10Fish9_PondTime,114.587
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,264
Pond10Fish9_TimeLeft,863.881
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,25.298
PondTime,139.465
TimeLeft,838.5
PondOutcome,99
TotalOutcome,264
PondStart,PondStart
PondIntroTime,13.51786766666919
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.167
Pond9Fish1_PondTime,9.787
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,275
Pond9Fish1_TimeLeft,814.556
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.121
Pond9Fish2_PondTime,18.177
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,286
Pond9Fish2_TimeLeft,806.166
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.2
Pond9Fish3_PondTime,27.244
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,297
Pond9Fish3_TimeLeft,797.099
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.693
Pond9Fish4_PondTime,37.145
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,308
Pond9Fish4_TimeLeft,787.198
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.138
Pond9Fish5_PondTime,48.088
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,319
Pond9Fish5_TimeLeft,776.255
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.308
Pond9Fish6_PondTime,60.449
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,330
Pond9Fish6_TimeLeft,763.894
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.198
Pond9Fish7_PondTime,74.812
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,341
Pond9Fish7_TimeLeft,749.531
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.066
Pond9Fish8_PondTime,92.241
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,352
Pond9Fish8_TimeLeft,732.102
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.257
Pond9Fish9_PondTime,114.603
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,363
Pond9Fish9_TimeLeft,709.74
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,20
Pond9Fish10_CatchTime,1.313
Pond9Fish10_PondTime,146.981
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,374
Pond9Fish10_TimeLeft,677.362
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,28.159
PondTime,174.654
TimeLeft,649.187
PondOutcome,110
TotalOutcome,374
PondStart,PondStart
PondIntroTime,15.808841239195317
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.113
Pond1Fish1_PondTime,8.319
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,385
Pond1Fish1_TimeLeft,624.442
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.172
Pond1Fish2_PondTime,15.012
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,396
Pond1Fish2_TimeLeft,617.749
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.149
Pond1Fish3_PondTime,22.032
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,407
Pond1Fish3_TimeLeft,610.729
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.053
Pond1Fish4_PondTime,29.393
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,418
Pond1Fish4_TimeLeft,603.368
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.022
Pond1Fish5_PondTime,37.25
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,429
Pond1Fish5_TimeLeft,595.511
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.153
