,5e208aa1e87b8e000b43675d
PondIntroTime,11.491949141491205
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.694
Pond1Fish1_PondTime,9.281
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,176
Pond1Fish1_TimeLeft,1043.389
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,0.748
Pond1Fish2_PondTime,17.099
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,187
Pond1Fish2_TimeLeft,1035.571
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.91
Pond1Fish3_PondTime,25.466
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,198
Pond1Fish3_TimeLeft,1027.204
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.072
Pond1Fish4_PondTime,34.498
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,209
Pond1Fish4_TimeLeft,1018.171
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.875
Pond1Fish5_PondTime,44.366
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,220
Pond1Fish5_TimeLeft,1008.304
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.736
Pond1Fish6_PondTime,55.298
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,231
Pond1Fish6_TimeLeft,997.372
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.819
Pond1Fish7_PondTime,67.664
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,242
Pond1Fish7_TimeLeft,985.006
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.88
Pond1Fish8_PondTime,82.032
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,253
Pond1Fish8_TimeLeft,970.638
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,0.719
PondTime,99.182
TimeLeft,952.986
PondOutcome,88
TotalOutcome,253
PondStart,PondStart
PondIntroTime,10.477323117665946
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,5
Pond8Fish1_CatchTime,0.841
Pond8Fish1_PondTime,9.733
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,264
Pond8Fish1_TimeLeft,932.154
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5.454545454545454
Pond8Fish2_CatchTime,0.796
Pond8Fish2_PondTime,18.099
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,275
Pond8Fish2_TimeLeft,923.789
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,0.98
Pond8Fish3_PondTime,27.133
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,286
Pond8Fish3_TimeLeft,914.755
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.722
Pond8Fish4_PondTime,37
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,297
Pond8Fish4_TimeLeft,904.888
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,0.79
Pond8Fish5_PondTime,47.933
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,308
Pond8Fish5_TimeLeft,893.955
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,0.938
Pond8Fish6_PondTime,60.3
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,319
Pond8Fish6_TimeLeft,881.588
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,0.77
Pond8Fish7_PondTime,74.668
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,330
Pond8Fish7_TimeLeft,867.22
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,1.196
PondTime,74.844
TimeLeft,866.541
PondOutcome,77
TotalOutcome,330
PondStart,PondStart
PondIntroTime,13.17265078658238
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.953
Pond2Fish1_PondTime,8.019
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,341
Pond2Fish1_TimeLeft,844.736
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.785
Pond2Fish2_PondTime,14.471
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,352
Pond2Fish2_TimeLeft,838.284
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.992
Pond2Fish3_PondTime,21.12
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,363
Pond2Fish3_TimeLeft,831.635
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.829
