,5d56e5a6ed4dff00155112ea
Pond5Fish6_CatchTime,1.115
Pond5Fish6_PondTime,39.7
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,913
Pond5Fish6_TimeLeft,201.503
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.123
Pond5Fish7_PondTime,47.083
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,924
Pond5Fish7_TimeLeft,194.12
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.914
Pond5Fish8_PondTime,54.93
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,935
Pond5Fish8_TimeLeft,186.273
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.933
Pond5Fish9_PondTime,63.294
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,946
Pond5Fish9_TimeLeft,177.909
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.455
Pond5Fish10_PondTime,72.345
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,957
Pond5Fish10_TimeLeft,168.858
Type,N
FishN,18
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,1.071
Pond5Fish11_PondTime,82.217
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,968
Pond5Fish11_TimeLeft,158.986
Type,N
FishN,18
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.145
Pond5Fish12_PondTime,93.162
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,979
Pond5Fish12_TimeLeft,148.041
Type,N
FishN,18
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.386
Pond5Fish13_PondTime,105.54
Pond5Fish13_PondOutcome,143
Pond5Fish13_TotalOutcome,990
Pond5Fish13_TimeLeft,135.663
Type,N
FishN,18
Fish,14
Pond5Fish14_FishType,green
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,1.153
Pond5Fish14_PondTime,119.917
Pond5Fish14_PondOutcome,154
Pond5Fish14_TotalOutcome,1001
Pond5Fish14_TimeLeft,121.286
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.836
PondTime,120.117
TimeLeft,120.582
PondOutcome,154
TotalOutcome,1001
PondStart,PondStart
PondIntroTime,17.90410984773189
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.1578947368421053
Pond10Fish1_CatchTime,1.022
Pond10Fish1_PondTime,7.644
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,1012
Pond10Fish1_TimeLeft,94.409
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.3333333333333335
Pond10Fish2_CatchTime,1.071
Pond10Fish2_PondTime,13.542
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,1023
Pond10Fish2_TimeLeft,88.511
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.5294117647058822
Pond10Fish3_CatchTime,1.108
Pond10Fish3_PondTime,19.669
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,1034
Pond10Fish3_TimeLeft,82.383
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,3.75
Pond10Fish4_CatchTime,0.995
Pond10Fish4_PondTime,26.06
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,1045
Pond10Fish4_TimeLeft,75.992
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4
Pond10Fish5_CatchTime,1.051
Pond10Fish5_PondTime,32.722
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,1056
Pond10Fish5_TimeLeft,69.331
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.016
Pond10Fish6_PondTime,39.715
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,1067
Pond10Fish6_TimeLeft,62.338
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.296
Pond10Fish7_PondTime,47.1
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,1078
Pond10Fish7_TimeLeft,54.953
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,0.858
Pond10Fish8_PondTime,54.926
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,1089
Pond10Fish8_TimeLeft,47.127
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.214
Pond10Fish9_PondTime,63.312
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,1100
Pond10Fish9_TimeLeft,38.741
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.208
Pond10Fish10_PondTime,72.359
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,1111
Pond10Fish10_TimeLeft,29.694
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.065
Pond10Fish11_PondTime,82.232
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,1122
Pond10Fish11_TimeLeft,19.821
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.114
Pond10Fish12_PondTime,93.188
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,1133
Pond10Fish12_TimeLeft,8.865
