,5d56e5a6ed4dff00155112ea
Pond4Fish8_CatchTime,1.104
Pond4Fish8_PondTime,69.027
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,176
Pond4Fish8_TimeLeft,1040.791
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,8.571428571428571
Pond4Fish9_CatchTime,1.22
Pond4Fish9_PondTime,81.41
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,187
Pond4Fish9_TimeLeft,1028.408
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,10
Pond4Fish10_CatchTime,1.236
Pond4Fish10_PondTime,97.612
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,198
Pond4Fish10_TimeLeft,1012.206
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,10.773
PondTime,107.825
TimeLeft,1001.49
PondOutcome,110
TotalOutcome,198
PondStart,PondStart
PondIntroTime,15.972822301555425
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.152
Pond8Fish1_PondTime,7.841
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,209
Pond8Fish1_TimeLeft,977.036
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.219
Pond8Fish2_PondTime,13.966
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,220
Pond8Fish2_TimeLeft,970.911
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.189
Pond8Fish3_PondTime,20.351
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,231
Pond8Fish3_TimeLeft,964.526
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,0.872
Pond8Fish4_PondTime,27.025
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,242
Pond8Fish4_TimeLeft,957.852
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.155
Pond8Fish5_PondTime,34.015
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,253
Pond8Fish5_TimeLeft,950.862
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,1.152
Pond8Fish6_PondTime,41.401
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,264
Pond8Fish6_TimeLeft,943.476
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.124
Pond8Fish7_PondTime,49.227
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,275
Pond8Fish7_TimeLeft,935.65
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,1.115
Pond8Fish8_PondTime,57.614
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,286
Pond8Fish8_TimeLeft,927.262
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,1.052
Pond8Fish9_PondTime,66.663
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,297
Pond8Fish9_TimeLeft,918.214
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.321
Pond8Fish10_PondTime,76.538
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,308
Pond8Fish10_TimeLeft,908.339
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.239
Pond8Fish11_PondTime,87.495
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,319
Pond8Fish11_TimeLeft,897.382
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,8.571428571428571
Pond8Fish12_CatchTime,-1
Pond8Fish12_PondTime,99.935
Pond8Fish12_PondOutcome,121
Pond8Fish12_TotalOutcome,319
Pond8Fish12_TimeLeft,884.942
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.558
Pond8Fish13_PondTime,114.318
Pond8Fish13_PondOutcome,132
Pond8Fish13_TotalOutcome,330
Pond8Fish13_TimeLeft,870.559
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,1.215
Pond8Fish14_PondTime,131.694
