,5ce787a02ba98d000149f18c
Pond11Fish2_TotalOutcome,858
Pond11Fish2_TimeLeft,223.136
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.226
Pond11Fish3_PondTime,24.072
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,869
Pond11Fish3_TimeLeft,215.319
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.247
Pond11Fish4_PondTime,32.452
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,880
Pond11Fish4_TimeLeft,206.939
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.188
Pond11Fish5_PondTime,41.483
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,891
Pond11Fish5_TimeLeft,197.908
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.159
Pond11Fish6_PondTime,51.351
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,902
Pond11Fish6_TimeLeft,188.04
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.073
Pond11Fish7_PondTime,62.301
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,913
Pond11Fish7_TimeLeft,177.09
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,1.164
Pond11Fish8_PondTime,74.673
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,924
Pond11Fish8_TimeLeft,164.718
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,1.151
Pond11Fish9_PondTime,89.039
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,935
Pond11Fish9_TimeLeft,150.351
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.766
PondTime,89.151
TimeLeft,149.733
PondOutcome,99
TotalOutcome,935
PondStart,PondStart
PondIntroTime,14.318688046187162
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,1.44
Pond8Fish1_PondTime,8.035
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,946
Pond8Fish1_TimeLeft,126.743
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,1.157
Pond8Fish2_PondTime,14.398
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,957
Pond8Fish2_TimeLeft,120.38
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4
Pond8Fish3_CatchTime,1.281
Pond8Fish3_PondTime,21.046
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,968
Pond8Fish3_TimeLeft,113.732
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.285714285714286
Pond8Fish4_CatchTime,1.137
Pond8Fish4_PondTime,28.03
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,979
Pond8Fish4_TimeLeft,106.748
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4.615384615384615
Pond8Fish5_CatchTime,1.213
Pond8Fish5_PondTime,35.403
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,990
Pond8Fish5_TimeLeft,99.375
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5
Pond8Fish6_CatchTime,1.257
Pond8Fish6_PondTime,43.227
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,1001
Pond8Fish6_TimeLeft,91.551
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,5.454545454545454
Pond8Fish7_CatchTime,1.066
Pond8Fish7_PondTime,51.59
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,1012
Pond8Fish7_TimeLeft,83.188
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6
Pond8Fish8_CatchTime,2.009
Pond8Fish8_PondTime,60.683
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,1023
Pond8Fish8_TimeLeft,74.095
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,6.666666666666667
Pond8Fish9_CatchTime,1.25
Pond8Fish9_PondTime,70.554
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,1034
Pond8Fish9_TimeLeft,64.224
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,7.5
Pond8Fish10_CatchTime,1.559
Pond8Fish10_PondTime,81.484
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1045
Pond8Fish10_TimeLeft,53.294
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,2.988
PondTime,84.232
TimeLeft,50.042
PondOutcome,110
TotalOutcome,1045
PondStart,PondStart
PondIntroTime,12.379567136522382
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.583
Pond9Fish1_PondTime,8.885
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1056
Pond9Fish1_TimeLeft,28.103
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.356
Pond9Fish2_PondTime,16.265
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1067
Pond9Fish2_TimeLeft,20.723
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.226
Pond9Fish3_PondTime,24.08
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1078
Pond9Fish3_TimeLeft,12.908
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.342
Pond9Fish4_PondTime,32.444
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1089
Pond9Fish4_TimeLeft,4.544
