,5ce787a02ba98d000149f18c
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,1.332
Pond3Fish5_PondTime,41.561
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,165
Pond3Fish5_TimeLeft,1046.593
PondEnd_LastFish,5
FishN,14
Type,N
GiveUpTime,1.046
PondTime,42.149
TimeLeft,1045.496
PondOutcome,55
TotalOutcome,165
PondStart,PondStart
PondIntroTime,17.903071597684175
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.476
Pond5Fish1_PondTime,8.901
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,176
Pond5Fish1_TimeLeft,1018.039
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.223
Pond5Fish2_PondTime,16.42
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,187
Pond5Fish2_TimeLeft,1010.52
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.7
Pond5Fish3_PondTime,24.25
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,198
Pond5Fish3_TimeLeft,1002.69
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.235
Pond5Fish4_PondTime,32.614
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,209
Pond5Fish4_TimeLeft,994.326
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.418
Pond5Fish5_PondTime,41.648
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,220
Pond5Fish5_TimeLeft,985.291
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.542
Pond5Fish6_PondTime,51.544
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,231
Pond5Fish6_TimeLeft,975.395
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.14
Pond5Fish7_PondTime,62.505
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,242
Pond5Fish7_TimeLeft,964.435
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.335
Pond5Fish8_PondTime,74.872
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,253
Pond5Fish8_TimeLeft,952.068
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.516
Pond5Fish9_PondTime,89.23
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,264
Pond5Fish9_TimeLeft,937.709
Type,N
FishN,18
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.308
Pond5Fish10_PondTime,106.593
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,275
Pond5Fish10_TimeLeft,920.347
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,0.668
PondTime,106.776
TimeLeft,919.659
PondOutcome,110
TotalOutcome,275
PondStart,PondStart
PondIntroTime,19.50514743104577
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.439
Pond9Fish1_PondTime,8.883
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,286
Pond9Fish1_TimeLeft,890.568
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.517
Pond9Fish2_PondTime,16.244
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,297
Pond9Fish2_TimeLeft,883.208
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.483
Pond9Fish3_PondTime,24.084
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,308
Pond9Fish3_TimeLeft,875.368
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.878
Pond9Fish4_PondTime,32.639
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,319
Pond9Fish4_TimeLeft,866.813
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.329
Pond9Fish5_PondTime,41.675
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,330
Pond9Fish5_TimeLeft,857.777
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.475
Pond9Fish6_PondTime,51.539
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,341
Pond9Fish6_TimeLeft,847.913
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.347
Pond9Fish7_PondTime,62.469
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,352
Pond9Fish7_TimeLeft,836.983
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.505
Pond9Fish8_PondTime,74.848
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,363
Pond9Fish8_TimeLeft,824.603
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.756
PondTime,75.319
TimeLeft,823.628
PondOutcome,88
TotalOutcome,363
PondStart,PondStart
PondIntroTime,13.435871689580381
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.779
Pond1Fish1_PondTime,7.881
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,374
Pond1Fish1_TimeLeft,801.698
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,14.064
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,374
Pond1Fish2_TimeLeft,795.516
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.228
Pond1Fish3_PondTime,20.454
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,385
Pond1Fish3_TimeLeft,789.126
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.219
Pond1Fish4_PondTime,27.116
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,396
Pond1Fish4_TimeLeft,782.464
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.054
Pond1Fish5_PondTime,34.106
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,407
Pond1Fish5_TimeLeft,775.474
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.295
Pond1Fish6_PondTime,41.473
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,418
Pond1Fish6_TimeLeft,768.107
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.222
Pond1Fish7_PondTime,49.312
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,429
Pond1Fish7_TimeLeft,760.268
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.089
Pond1Fish8_PondTime,57.671
Pond1Fish8_PondOutcome,77
Pond1Fish8_TotalOutcome,440
Pond1Fish8_TimeLeft,751.908
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.468
Pond1Fish9_PondTime,66.707
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,451
Pond1Fish9_TimeLeft,742.873
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.285
Pond1Fish10_PondTime,76.596
Pond1Fish10_PondOutcome,99
Pond1Fish10_TotalOutcome,462
Pond1Fish10_TimeLeft,732.984
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,2.021
Pond1Fish11_PondTime,87.86
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,473
Pond1Fish11_TimeLeft,721.72
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.444
Pond1Fish12_PondTime,100.227
Pond1Fish12_PondOutcome,121
Pond1Fish12_TotalOutcome,484
Pond1Fish12_TimeLeft,709.352
Type,N
FishN,16
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.419
Pond1Fish13_PondTime,114.587
Pond1Fish13_PondOutcome,132
Pond1Fish13_TotalOutcome,495
Pond1Fish13_TimeLeft,694.993
Type,N
FishN,16
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.245
Pond1Fish14_PondTime,131.954
Pond1Fish14_PondOutcome,143
Pond1Fish14_TotalOutcome,506
Pond1Fish14_TimeLeft,677.626
PondEnd_LastFish,14
FishN,18
Type,N
GiveUpTime,0.898
PondTime,132.295
TimeLeft,676.777
PondOutcome,143
TotalOutcome,506
PondStart,PondStart
PondIntroTime,19.53979295445606
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.41
Pond10Fish1_PondTime,9.733
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,517
Pond10Fish1_TimeLeft,646.871
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.472
Pond10Fish2_PondTime,18.1
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,528
Pond10Fish2_TimeLeft,638.504
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.477
Pond10Fish3_PondTime,27.127
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,539
Pond10Fish3_TimeLeft,629.477
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.232
Pond10Fish4_PondTime,37.001
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,550
Pond10Fish4_TimeLeft,619.602
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
