,5dd92c52d3ac2aa788add9ea
PlayerDetails,5dd92c52d3ac2aa788add9ea
GameCompleted,finished
Selected ponds in the game,=======
Pond5_Type,N
Pond5_#Fishes,19
Pond4_Type,N
Pond4_#Fishes,12
Pond1_Type,N
Pond1_#Fishes,18
Pond9_Type,N
Pond9_#Fishes,15
Pond10_Type,N
Pond10_#Fishes,13
Pond6_Type,N
Pond6_#Fishes,17
Pond3_Type,N
Pond3_#Fishes,14
Pond8_Type,N
Pond8_#Fishes,12
Pond2_Type,N
Pond2_#Fishes,16
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Thu Jan 16 2020 17:44:29 GMT+0000 (Hora padrão da Europa Ocidental)
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.157
Pond5Fish1_PondTime,7.628
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,11
Pond5Fish1_TimeLeft,1194.762
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.132
Pond5Fish2_PondTime,13.527
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,22
Pond5Fish2_TimeLeft,1188.863
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.15
Pond5Fish3_PondTime,19.646
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,33
Pond5Fish3_TimeLeft,1182.744
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
