,2
PlayerDetails,2
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Dec 16 2019 14:15:28 GMT+0200 (שעון ישראל (חורף))
Type,RD
FishN,16
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.048
Pond8Fish1_PondTime,8.545
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,12
Pond8Fish1_TimeLeft,1193.854
Type,RD
FishN,16
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.242
Pond8Fish2_PondTime,15.529
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,14
Pond8Fish2_TimeLeft,1186.87
Type,RD
FishN,16
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,-1
Pond8Fish3_PondTime,22.961
Pond8Fish3_PondOutcome,14
Pond8Fish3_TotalOutcome,14
Pond8Fish3_TimeLeft,1179.438
Type,RD
FishN,16
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.993
Pond8Fish4_PondTime,30.78
Pond8Fish4_PondOutcome,26
Pond8Fish4_TotalOutcome,26
Pond8Fish4_TimeLeft,1171.619
PondEnd_LastFish,4
FishN,16
Type,RD
GiveUpTime,0.377
PondTime,38.504
TimeLeft,1163.392
PondOutcome,26
TotalOutcome,26
PondStart,PondStart
PondIntroTime,10.81561885541305
PondEnd_LastFish,4
FishN,14
Type,RD
GiveUpTime,0.629
PondTime,9.045
TimeLeft,1142.409
PondOutcome,0
TotalOutcome,26
PondStart,PondStart
PondIntroTime,10.207358389161527
Type,RT
FishN,13
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.04
Pond5Fish1_PondTime,8.551
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,36
Pond5Fish1_TimeLeft,1123.038
PondEnd_LastFish,1
FishN,13
Type,RT
GiveUpTime,0.552
PondTime,15.002
TimeLeft,1116.086
PondOutcome,10
TotalOutcome,36
PondStart,PondStart
PondIntroTime,14.296434225980192
PondEnd_LastFish,1
FishN,15
Type,RT
GiveUpTime,18.047
PondTime,4.948
TimeLeft,1095.722
PondOutcome,0
TotalOutcome,36
PondStart,PondStart
PondIntroTime,19.39232690492645
