,taly3
PlayerDetails,taly3
GameCompleted,declined
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Dec 16 2019 14:41:18 GMT+0200 (Israel Standard Time)
Type,RD
FishN,16
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,8.345
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,0
Pond1Fish1_TimeLeft,1194.053
Type,RD
FishN,16
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,19.231
Pond1Fish2_PondOutcome,0
Pond1Fish2_TotalOutcome,0
Pond1Fish2_TimeLeft,1183.168
Type,RD
FishN,16
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,-1
Pond1Fish3_PondTime,32.232
Pond1Fish3_PondOutcome,0
Pond1Fish3_TotalOutcome,0
Pond1Fish3_TimeLeft,1170.167
Type,RD
FishN,16
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,-1
Pond1Fish4_PondTime,46.231
Pond1Fish4_PondOutcome,0
Pond1Fish4_TotalOutcome,0
Pond1Fish4_TimeLeft,1156.168
Type,RD
FishN,16
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,-1
Pond1Fish5_PondTime,60.236
Pond1Fish5_PondOutcome,0
Pond1Fish5_TotalOutcome,0
Pond1Fish5_TimeLeft,1142.163
Type,RD
FishN,16
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,75.235
Pond1Fish6_PondOutcome,0
Pond1Fish6_TotalOutcome,0
Pond1Fish6_TimeLeft,1127.164
