,taly10
PlayerDetails,taly10
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Dec 16 2019 14:54:57 GMT+0200 (Israel Standard Time)
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.929
Pond6Fish1_PondTime,7.811
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,12
Pond6Fish1_TimeLeft,1194.586
PondEnd_LastFish,1
FishN,19
Type,RD
GiveUpTime,0.966
PondTime,7.908
TimeLeft,1193.986
PondOutcome,12
TotalOutcome,12
PondStart,PondStart
PondIntroTime,14.33239781530574
Type,RT
FishN,14
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.058
Pond3Fish1_PondTime,8.56
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,22
Pond3Fish1_TimeLeft,1170.461
PondEnd_LastFish,1
FishN,14
Type,RT
GiveUpTime,0.925
PondTime,8.755
TimeLeft,1169.763
PondOutcome,10
TotalOutcome,22
PondStart,PondStart
PondIntroTime,17.17203535605222
Type,RT
FishN,15
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.572
Pond5Fish1_PondTime,9.269
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,32
Pond5Fish1_TimeLeft,1142.703
PondEnd_LastFish,1
FishN,15
Type,RT
GiveUpTime,0.706
PondTime,9.756
TimeLeft,1141.713
PondOutcome,10
TotalOutcome,32
PondStart,PondStart
PondIntroTime,16.2270226306282
Type,N
FishN,12
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.077
Pond9Fish1_PondTime,7.636
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,43
Pond9Fish1_TimeLeft,1117.237
PondEnd_LastFish,1
FishN,12
Type,N
GiveUpTime,0.958
PondTime,7.873
TimeLeft,1116.496
PondOutcome,11
TotalOutcome,43
PondStart,PondStart
PondIntroTime,12.727891670074314
Type,RT
