,1
PlayerDetails,1
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Dec 16 2019 14:15:12 GMT+0200 (שעון ישראל (חורף))
Type,N
FishN,14
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.033
Pond2Fish1_PondTime,7.798
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,11
Pond2Fish1_TimeLeft,1194.601
Type,N
FishN,14
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.886
Pond2Fish2_PondTime,13.914
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,22
Pond2Fish2_TimeLeft,1188.485
PondEnd_LastFish,2
FishN,14
Type,N
GiveUpTime,3.638
PondTime,16.649
TimeLeft,1185.249
PondOutcome,22
TotalOutcome,22
PondStart,PondStart
PondIntroTime,14.251923975534737
Type,N
FishN,12
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.225
Pond9Fish1_PondTime,8.885
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,33
Pond9Fish1_TimeLeft,1161.486
Type,N
FishN,12
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.251
Pond9Fish2_PondTime,16.251
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,44
Pond9Fish2_TimeLeft,1154.12
Type,N
FishN,12
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.084
Pond9Fish3_PondTime,24.069
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,55
Pond9Fish3_TimeLeft,1146.302
PondEnd_LastFish,3
FishN,12
Type,N
GiveUpTime,1.051
PondTime,24.401
TimeLeft,1145.468
PondOutcome,33
TotalOutcome,55
PondStart,PondStart
PondIntroTime,18.462315241340548
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,gray
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.843
Pond12Fish1_PondTime,7.601
Pond12Fish1_PondOutcome,2
Pond12Fish1_TotalOutcome,57
Pond12Fish1_TimeLeft,1118.787
PondEnd_LastFish,1
FishN,13
Type,RD
GiveUpTime,2.684
PondTime,9.333
TimeLeft,1116.554
PondOutcome,2
TotalOutcome,57
PondStart,PondStart
PondIntroTime,12.804031411651522
Type,N
FishN,17
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.927
Pond7Fish1_PondTime,8.268
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,68
Pond7Fish1_TimeLeft,1094.853
PondEnd_LastFish,1
FishN,17
Type,N
GiveUpTime,0.465
PondTime,14.647
TimeLeft,1087.973
PondOutcome,11
TotalOutcome,68
PondStart,PondStart
PondIntroTime,17.394449615385383
PondEnd_LastFish,1
FishN,16
Type,RD
GiveUpTime,0.678
PondTime,8.161
TimeLeft,1061.309
PondOutcome,0
TotalOutcome,68
PondStart,PondStart
PondIntroTime,19.20333774527535
