,5decb11b9b8f2437f63f1d8b
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.738
Pond11Fish4_PondTime,29.244
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,940
Pond11Fish4_TimeLeft,285.151
Type,RT
FishN,19
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.768
Pond11Fish5_PondTime,37.06
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,950
Pond11Fish5_TimeLeft,277.335
Type,RT
FishN,19
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.691
Pond11Fish6_PondTime,45.417
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,960
Pond11Fish6_TimeLeft,268.978
Type,RT
FishN,19
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,0.69
Pond11Fish7_PondTime,54.443
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,970
Pond11Fish7_TimeLeft,259.952
Type,RT
FishN,19
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,0.839
Pond11Fish8_PondTime,64.302
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,980
Pond11Fish8_TimeLeft,250.093
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,0.329
PondTime,74.478
TimeLeft,239.414
PondOutcome,80
TotalOutcome,980
PondStart,PondStart
PondIntroTime,10.744909152854234
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,0.864
Pond9Fish1_PondTime,9.724
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,992
Pond9Fish1_TimeLeft,218.337
Type,RD
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.724
Pond9Fish2_PondTime,18.083
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1004
Pond9Fish2_TimeLeft,209.978
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,0.824
Pond9Fish3_PondTime,27.11
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1016
Pond9Fish3_TimeLeft,200.951
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.887
Pond9Fish4_PondTime,36.967
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1028
Pond9Fish4_TimeLeft,191.094
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,0.811
Pond9Fish5_PondTime,47.891
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1040
Pond9Fish5_TimeLeft,180.17
PondEnd_LastFish,5
FishN,12
Type,RD
GiveUpTime,0.334
PondTime,59.416
TimeLeft,168.144
PondOutcome,60
TotalOutcome,1040
PondStart,PondStart
PondIntroTime,16.759091520216316
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,0.831
Pond5Fish1_PondTime,8.268
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,1052
Pond5Fish1_TimeLeft,142.501
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.798
Pond5Fish2_PondTime,14.911
Pond5Fish2_PondOutcome,14
Pond5Fish2_TotalOutcome,1054
Pond5Fish2_TimeLeft,135.859
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,0.999
Pond5Fish3_PondTime,21.887
Pond5Fish3_PondOutcome,26
Pond5Fish3_TotalOutcome,1066
Pond5Fish3_TimeLeft,128.883
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,0.698
Pond5Fish4_PondTime,29.241
Pond5Fish4_PondOutcome,38
Pond5Fish4_TotalOutcome,1078
Pond5Fish4_TimeLeft,121.529
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,0.736
Pond5Fish5_PondTime,37.051
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,1090
Pond5Fish5_TimeLeft,113.719
Type,RD
FishN,17
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,0.81
Pond5Fish6_PondTime,45.41
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,1102
Pond5Fish6_TimeLeft,105.36
Type,RD
FishN,17
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,0.906
Pond5Fish7_PondTime,54.435
Pond5Fish7_PondOutcome,74
Pond5Fish7_TotalOutcome,1114
Pond5Fish7_TimeLeft,96.335
Type,RD
FishN,17
Fish,8
Pond5Fish8_FishType,gray
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.094
Pond5Fish8_PondTime,64.293
Pond5Fish8_PondOutcome,76
Pond5Fish8_TotalOutcome,1116
Pond5Fish8_TimeLeft,86.476
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.496
PondTime,74.461
TimeLeft,75.806
PondOutcome,76
TotalOutcome,1116
PondStart,PondStart
PondIntroTime,13.872140878811479
Type,N
FishN,17
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,0.693
Pond6Fish1_PondTime,8.267
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1127
Pond6Fish1_TimeLeft,53.053
Type,N
FishN,17
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,0.876
Pond6Fish2_PondTime,14.912
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1138
Pond6Fish2_TimeLeft,46.409
Type,N
FishN,17
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,1.11
Pond6Fish3_PondTime,21.885
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1149
Pond6Fish3_TimeLeft,39.436
Type,N
FishN,17
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.455
Pond6Fish4_PondTime,29.243
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1160
Pond6Fish4_TimeLeft,32.078
Type,N
FishN,17
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,0.735
Pond6Fish5_PondTime,37.052
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,1171
Pond6Fish5_TimeLeft,24.269
Type,N
FishN,17
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5.454545454545454
Pond6Fish6_CatchTime,0.512
Pond6Fish6_PondTime,45.411
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,1182
Pond6Fish6_TimeLeft,15.91
Type,N
FishN,17
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,6
Pond6Fish7_CatchTime,0.801
Pond6Fish7_PondTime,54.436
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,1193
Pond6Fish7_TimeLeft,6.885
