,5decb11b9b8f2437f63f1d8b
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,180
Pond1Fish3_TimeLeft,1052.792
Type,RD
FishN,15
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,0.731
Pond1Fish4_PondTime,27.991
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,192
Pond1Fish4_TimeLeft,1045.819
Type,RD
FishN,15
Fish,5
Pond1Fish5_FishType,gray
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.877
Pond1Fish5_PondTime,35.355
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,194
Pond1Fish5_TimeLeft,1038.454
Type,RD
FishN,15
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,0.851
Pond1Fish6_PondTime,43.17
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,206
Pond1Fish6_TimeLeft,1030.64
Type,RD
FishN,15
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5.454545454545454
Pond1Fish7_CatchTime,0.942
Pond1Fish7_PondTime,51.526
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,218
Pond1Fish7_TimeLeft,1022.283
Type,RD
FishN,15
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6
Pond1Fish8_CatchTime,0.693
Pond1Fish8_PondTime,60.549
Pond1Fish8_PondOutcome,86
Pond1Fish8_TotalOutcome,230
Pond1Fish8_TimeLeft,1013.26
Type,RD
FishN,15
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6.666666666666667
Pond1Fish9_CatchTime,0.955
Pond1Fish9_PondTime,70.408
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,242
Pond1Fish9_TimeLeft,1003.402
Type,RD
FishN,15
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,7.5
Pond1Fish10_CatchTime,0.813
Pond1Fish10_PondTime,81.334
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,254
Pond1Fish10_TimeLeft,992.476
Type,RD
FishN,15
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,8.571428571428571
Pond1Fish11_CatchTime,0.935
Pond1Fish11_PondTime,93.693
Pond1Fish11_PondOutcome,122
Pond1Fish11_TotalOutcome,266
Pond1Fish11_TimeLeft,980.117
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.303
PondTime,107.493
TimeLeft,965.813
PondOutcome,122
TotalOutcome,266
PondStart,PondStart
PondIntroTime,11.030474388971925
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,0.747
Pond7Fish1_PondTime,8.559
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,277
Pond7Fish1_TimeLeft,945.618
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.7
Pond7Fish2_PondTime,15.536
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,288
Pond7Fish2_TimeLeft,938.641
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,0.828
Pond7Fish3_PondTime,22.893
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,299
Pond7Fish3_TimeLeft,931.284
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.708
Pond7Fish4_PondTime,30.702
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,310
Pond7Fish4_TimeLeft,923.475
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,0.744
Pond7Fish5_PondTime,39.06
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,321
Pond7Fish5_TimeLeft,915.117
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,0.686
Pond7Fish6_PondTime,48.083
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,332
Pond7Fish6_TimeLeft,906.094
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,0.827
Pond7Fish7_PondTime,57.942
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,343
Pond7Fish7_TimeLeft,896.235
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,0.927
Pond7Fish8_PondTime,68.876
