,5e23b9963285b165a91acef6
Pond11Fish10_TimeLeft,314.921
Type,RD
FishN,19
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,12
Pond11Fish11_CatchTime,1.159
Pond11Fish11_PondTime,113.542
Pond11Fish11_PondOutcome,132
Pond11Fish11_TotalOutcome,873
Pond11Fish11_TimeLeft,297.51
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,0.362
PondTime,135.311
TimeLeft,275.239
PondOutcome,132
TotalOutcome,873
PondStart,PondStart
PondIntroTime,13.788154285866767
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.702
Pond8Fish1_PondTime,8.608
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,884
Pond8Fish1_TimeLeft,252.205
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.819
Pond8Fish2_PondTime,15.624
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,895
Pond8Fish2_TimeLeft,245.189
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.908
Pond8Fish3_PondTime,23.03
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,906
Pond8Fish3_TimeLeft,237.783
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,30.963
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,906
Pond8Fish4_TimeLeft,229.85
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.711
Pond8Fish5_PondTime,39.379
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,917
Pond8Fish5_TimeLeft,221.434
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.347
Pond8Fish6_PondTime,48.456
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,928
Pond8Fish6_TimeLeft,212.357
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.119
Pond8Fish7_PondTime,58.353
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,939
Pond8Fish7_TimeLeft,202.46
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.888
Pond8Fish8_PondTime,69.289
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,950
Pond8Fish8_TimeLeft,191.524
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,0.809
Pond8Fish9_PondTime,81.694
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,961
Pond8Fish9_TimeLeft,179.119
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.382
Pond8Fish10_PondTime,96.099
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,972
Pond8Fish10_TimeLeft,164.714
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,0.953
Pond8Fish11_PondTime,113.506
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,983
Pond8Fish11_TimeLeft,147.307
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,0.618
PondTime,135.514
TimeLeft,124.798
PondOutcome,110
TotalOutcome,983
PondStart,PondStart
PondIntroTime,19.1788845974952
Type,RD
FishN,17
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.181
Pond6Fish1_PondTime,9.739
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,995
Pond6Fish1_TimeLeft,95.24
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.817
Pond6Fish2_PondTime,18.147
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,1007
Pond6Fish2_TimeLeft,86.833
Type,RD
FishN,17
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.041
Pond6Fish3_PondTime,27.232
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,1019
Pond6Fish3_TimeLeft,77.748
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,1.224
Pond6Fish4_PondTime,37.182
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1031
Pond6Fish4_TimeLeft,67.798
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,0.915
Pond6Fish5_PondTime,48.162
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1043
Pond6Fish5_TimeLeft,56.818
Type,RD
FishN,17
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,1.057
Pond6Fish6_PondTime,60.588
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,1055
Pond6Fish6_TimeLeft,44.392
Type,RD
FishN,17
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,0.829
Pond6Fish7_PondTime,74.994
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,1067
Pond6Fish7_TimeLeft,29.986
Type,RD
FishN,17
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,12
Pond6Fish8_CatchTime,0.661
Pond6Fish8_PondTime,92.419
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,1079
Pond6Fish8_TimeLeft,12.561
