,5d96108d33f8930017e85506
FishN,19
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.075
Pond11Fish5_PondTime,44.367
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,150
Pond11Fish5_TimeLeft,1040.706
Type,RD
FishN,19
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.668
Pond11Fish6_PondTime,55.301
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,162
Pond11Fish6_TimeLeft,1029.772
Type,RD
FishN,19
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.02
Pond11Fish7_PondTime,67.667
Pond11Fish7_PondOutcome,64
Pond11Fish7_TotalOutcome,174
Pond11Fish7_TimeLeft,1017.406
Type,RD
FishN,19
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,0.749
Pond11Fish8_PondTime,82.034
Pond11Fish8_PondOutcome,76
Pond11Fish8_TotalOutcome,186
Pond11Fish8_TimeLeft,1003.039
Type,RD
FishN,19
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.929
Pond11Fish9_PondTime,99.401
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,198
Pond11Fish9_TimeLeft,985.672
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,0.583
PondTime,121.566
TimeLeft,963.004
PondOutcome,88
TotalOutcome,198
PondStart,PondStart
PondIntroTime,14.536410120781511
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.729
Pond7Fish1_PondTime,9.267
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,209
Pond7Fish1_TimeLeft,938.572
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.959
Pond7Fish2_PondTime,17.349
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,220
Pond7Fish2_TimeLeft,930.49
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.913
Pond7Fish3_PondTime,25.718
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,231
Pond7Fish3_TimeLeft,922.121
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,0.667
Pond7Fish4_PondTime,34.75
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,242
Pond7Fish4_TimeLeft,913.089
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.866
Pond7Fish5_PondTime,44.616
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,253
Pond7Fish5_TimeLeft,903.223
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.884
Pond7Fish6_PondTime,55.549
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,264
Pond7Fish6_TimeLeft,892.29
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.089
Pond7Fish7_PondTime,67.916
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,275
Pond7Fish7_TimeLeft,879.923
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,0.878
Pond7Fish8_PondTime,82.284
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,286
Pond7Fish8_TimeLeft,865.555
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,1.766
PondTime,83.13
TimeLeft,864.207
PondOutcome,88
TotalOutcome,286
PondStart,PondStart
PondIntroTime,11.062580097932369
Type,RD
FishN,17
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.712
Pond6Fish1_PondTime,7.802
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,298
Pond6Fish1_TimeLeft,844.737
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.916
Pond6Fish2_PondTime,13.919
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,310
Pond6Fish2_TimeLeft,838.621
Type,RD
FishN,17
Fish,3
Pond6Fish3_FishType,gray
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.869
Pond6Fish3_PondTime,20.284
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,312
Pond6Fish3_TimeLeft,832.256
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,1.084
Pond6Fish4_PondTime,26.934
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,324
Pond6Fish4_TimeLeft,825.606
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.633
Pond6Fish5_PondTime,33.917
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,336
Pond6Fish5_TimeLeft,818.623
Type,RD
FishN,17
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.849
Pond6Fish6_PondTime,41.285
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,348
Pond6Fish6_TimeLeft,811.255
Type,RD
FishN,17
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.001
Pond6Fish7_PondTime,49.1
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,360
Pond6Fish7_TimeLeft,803.44
Type,RD
FishN,17
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.95
Pond6Fish8_PondTime,57.466
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,372
Pond6Fish8_TimeLeft,795.073
Type,RD
FishN,17
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.846
Pond6Fish9_PondTime,66.501
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,384
Pond6Fish9_TimeLeft,786.039
Type,RD
FishN,17
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.667
Pond6Fish10_PondTime,76.368
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,396
Pond6Fish10_TimeLeft,776.172
Type,RD
FishN,17
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.986
Pond6Fish11_PondTime,87.301
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,408
Pond6Fish11_TimeLeft,765.239
Type,RD
FishN,17
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.718
Pond6Fish12_PondTime,99.667
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,420
Pond6Fish12_TimeLeft,752.873
PondEnd_LastFish,12
FishN,18
Type,RD
GiveUpTime,1.85
PondTime,100.449
TimeLeft,751.589
PondOutcome,134
TotalOutcome,420
PondStart,PondStart
PondIntroTime,13.562120497226715
Type,RT
FishN,14
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,-1
Pond4Fish1_PondTime,7.684
Pond4Fish1_PondOutcome,0
Pond4Fish1_TotalOutcome,420
Pond4Fish1_TimeLeft,729.723
Type,RT
FishN,14
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.794
Pond4Fish2_PondTime,13.585
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,440
Pond4Fish2_TimeLeft,723.822
Type,RT
FishN,14
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.794
Pond4Fish3_PondTime,19.701
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,450
Pond4Fish3_TimeLeft,717.706
Type,RT
FishN,14
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.769
Pond4Fish4_PondTime,26.068
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,460
Pond4Fish4_TimeLeft,711.339
Type,RT
FishN,14
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,0.673
Pond4Fish5_PondTime,32.717
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,470
Pond4Fish5_TimeLeft,704.689
Type,RT
FishN,14
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,0.824
Pond4Fish6_PondTime,39.701
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,480
Pond4Fish6_TimeLeft,697.706
Type,RT
FishN,14
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,0.6
Pond4Fish7_PondTime,47.068
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,490
Pond4Fish7_TimeLeft,690.339
Type,RT
FishN,14
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.693
Pond4Fish8_PondTime,54.885
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,500
Pond4Fish8_TimeLeft,682.522
Type,RT
FishN,14
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,5.454545454545454
Pond4Fish9_CatchTime,0.81
Pond4Fish9_PondTime,63.251
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,510
Pond4Fish9_TimeLeft,674.156
Type,RT
FishN,14
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,6
Pond4Fish10_CatchTime,0.725
Pond4Fish10_PondTime,72.284
Pond4Fish10_PondOutcome,100
Pond4Fish10_TotalOutcome,520
Pond4Fish10_TimeLeft,665.123
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,0.962
PondTime,82.11
TimeLeft,654.795
PondOutcome,100
TotalOutcome,520
PondStart,PondStart
PondIntroTime,14.049505423754454
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.656
Pond12Fish1_PondTime,8.567
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,530
Pond12Fish1_TimeLeft,631.556
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.737
Pond12Fish2_PondTime,15.551
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,540
Pond12Fish2_TimeLeft,624.572
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.851
Pond12Fish3_PondTime,22.916
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,550
Pond12Fish3_TimeLeft,617.207
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.706
Pond12Fish4_PondTime,30.734
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,570
Pond12Fish4_TimeLeft,609.389
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.672
Pond12Fish5_PondTime,39.099
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,580
Pond12Fish5_TimeLeft,601.024
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.794
Pond12Fish6_PondTime,48.134
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,590
Pond12Fish6_TimeLeft,591.989
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.806
Pond12Fish7_PondTime,58
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,600
Pond12Fish7_TimeLeft,582.123
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.702
Pond12Fish8_PondTime,68.933
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,610
Pond12Fish8_TimeLeft,571.19
Type,RT
FishN,15
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.279
Pond12Fish9_PondTime,81.299
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,620
Pond12Fish9_TimeLeft,558.824
Type,RT
FishN,15
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.29
Pond12Fish10_PondTime,95.666
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,630
Pond12Fish10_TimeLeft,544.457
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.786
PondTime,95.951
TimeLeft,543.669
PondOutcome,110
TotalOutcome,630
PondStart,PondStart
PondIntroTime,15.48557904548943
Type,RD
FishN,16
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.223
Pond10Fish1_PondTime,9.734
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,642
Pond10Fish1_TimeLeft,517.823
Type,RD
FishN,16
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.625
Pond10Fish2_PondTime,18.101
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,654
Pond10Fish2_TimeLeft,509.456
Type,RD
FishN,16
Fish,3
Pond10Fish3_FishType,blue
