,5d96108d33f8930017e85506
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.503
Pond9Fish2_PondTime,18.101
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,904
Pond9Fish2_TimeLeft,235.475
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.026
Pond9Fish3_PondTime,27.135
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,916
Pond9Fish3_TimeLeft,226.441
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.049
Pond9Fish4_PondTime,37.001
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,928
Pond9Fish4_TimeLeft,216.575
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.68
Pond9Fish5_PondTime,47.935
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,940
Pond9Fish5_TimeLeft,205.641
Type,RD
FishN,14
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.588
Pond9Fish6_PondTime,60.301
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,952
Pond9Fish6_TimeLeft,193.275
Type,RD
FishN,14
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.964
Pond9Fish7_PondTime,74.668
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,964
Pond9Fish7_TimeLeft,178.908
Type,RD
FishN,14
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,0.909
Pond9Fish8_PondTime,92.034
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,976
Pond9Fish8_TimeLeft,161.542
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,1.162
PondTime,92.311
TimeLeft,160.763
PondOutcome,96
TotalOutcome,976
PondStart,PondStart
PondIntroTime,11.330061885528266
Type,RT
FishN,15
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.824
Pond1Fish1_PondTime,7.8
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,986
Pond1Fish1_TimeLeft,141.026
Type,RT
FishN,15
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.613
Pond1Fish2_PondTime,13.917
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,996
Pond1Fish2_TimeLeft,134.909
Type,RT
FishN,15
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.128
Pond1Fish3_PondTime,20.285
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1006
Pond1Fish3_TimeLeft,128.541
Type,RT
FishN,15
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.897
Pond1Fish4_PondTime,26.936
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,1016
Pond1Fish4_TimeLeft,121.89
Type,RT
FishN,15
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.693
Pond1Fish5_PondTime,33.92
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,1026
Pond1Fish5_TimeLeft,114.906
PondEnd_LastFish,5
FishN,18
Type,RT
GiveUpTime,0.683
PondTime,41.218
TimeLeft,107.106
PondOutcome,50
TotalOutcome,1026
PondStart,PondStart
PondIntroTime,16.933000611606985
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.1578947368421053
Pond3Fish1_CatchTime,0.889
Pond3Fish1_PondTime,7.6
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,1036
Pond3Fish1_TimeLeft,81.94
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,0.649
Pond3Fish2_PondTime,13.482
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,1046
Pond3Fish2_TimeLeft,76.058
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.724
Pond3Fish3_PondTime,19.599
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,1056
Pond3Fish3_TimeLeft,69.941
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,0.8
Pond3Fish4_PondTime,25.965
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,1066
Pond3Fish4_TimeLeft,63.575
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.648
Pond3Fish5_PondTime,32.617
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,1076
Pond3Fish5_TimeLeft,56.923
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,0.66
PondTime,39.324
TimeLeft,49.714
PondOutcome,50
TotalOutcome,1076
PondStart,PondStart
PondIntroTime,11.879051981959492
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,1.486
Pond2Fish1_PondTime,8.566
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,1088
Pond2Fish1_TimeLeft,28.658
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.859
Pond2Fish2_PondTime,15.717
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,1100
Pond2Fish2_TimeLeft,21.507
Type,RD
FishN,16
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.618
Pond2Fish3_PondTime,23.083
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,1112
Pond2Fish3_TimeLeft,14.141
Type,RD
FishN,16
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.963
Pond2Fish4_PondTime,30.899
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,1124
Pond2Fish4_TimeLeft,6.325
