,5dac65e10cd3ff0013e3ee17
Pond3Fish3_TotalOutcome,177
Pond3Fish3_TimeLeft,1033.953
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.009
Pond3Fish4_PondTime,29.273
Pond3Fish4_PondOutcome,60
Pond3Fish4_TotalOutcome,187
Pond3Fish4_TimeLeft,1026.589
PondEnd_LastFish,4
FishN,16
Type,RT
GiveUpTime,1.844
PondTime,30.329
TimeLeft,1025.028
PondOutcome,60
TotalOutcome,187
PondStart,PondStart
PondIntroTime,10.082289827987552
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.388
Pond9Fish1_PondTime,7.613
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,198
Pond9Fish1_TimeLeft,1006.714
Type,N
FishN,14
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.621
Pond9Fish2_PondTime,13.508
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,209
Pond9Fish2_TimeLeft,1000.819
Type,N
FishN,14
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,19.672
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,209
Pond9Fish3_TimeLeft,994.655
Type,N
FishN,14
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.792
Pond9Fish4_PondTime,26.136
Pond9Fish4_PondOutcome,33
Pond9Fish4_TotalOutcome,220
Pond9Fish4_TimeLeft,988.191
Type,N
FishN,14
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,1.716
Pond9Fish5_PondTime,32.8
Pond9Fish5_PondOutcome,44
Pond9Fish5_TotalOutcome,231
Pond9Fish5_TimeLeft,981.527
PondEnd_LastFish,5
FishN,19
Type,N
GiveUpTime,2.944
PondTime,35.642
TimeLeft,978.181
PondOutcome,44
TotalOutcome,231
PondStart,PondStart
PondIntroTime,18.24137765681371
Type,RD
FishN,14
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.256
Pond4Fish1_PondTime,9.294
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,243
Pond4Fish1_TimeLeft,950.006
Type,RD
FishN,14
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.561
Pond4Fish2_PondTime,17.106
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,255
Pond4Fish2_TimeLeft,942.194
Type,RD
FishN,14
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,1.435
Pond4Fish3_PondTime,25.471
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,267
Pond4Fish3_TimeLeft,933.828
Type,RD
FishN,14
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.382
Pond4Fish4_PondTime,34.501
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,279
Pond4Fish4_TimeLeft,924.799
Type,RD
FishN,14
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.262
Pond4Fish5_PondTime,44.367
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,291
Pond4Fish5_TimeLeft,914.933
PondEnd_LastFish,5
FishN,13
Type,RD
GiveUpTime,1.076
PondTime,44.904
TimeLeft,913.892
PondOutcome,60
TotalOutcome,291
PondStart,PondStart
PondIntroTime,18.384512225165963
Type,RT
FishN,17
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.532
Pond5Fish1_PondTime,9.3
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,301
Pond5Fish1_TimeLeft,885.581
Type,RT
FishN,17
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,17.209
Pond5Fish2_PondOutcome,10
Pond5Fish2_TotalOutcome,301
Pond5Fish2_TimeLeft,877.671
Type,RT
FishN,17
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.717
Pond5Fish3_PondTime,25.59
Pond5Fish3_PondOutcome,20
Pond5Fish3_TotalOutcome,311
Pond5Fish3_TimeLeft,869.291
Type,RT
FishN,17
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,34.684
Pond5Fish4_PondOutcome,20
Pond5Fish4_TotalOutcome,311
Pond5Fish4_TimeLeft,860.197
Type,RT
FishN,17
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.556
Pond5Fish5_PondTime,44.547
Pond5Fish5_PondOutcome,30
Pond5Fish5_TotalOutcome,321
Pond5Fish5_TimeLeft,850.334
Type,RT
FishN,17
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.449
Pond5Fish6_PondTime,55.476
Pond5Fish6_PondOutcome,40
Pond5Fish6_TotalOutcome,331
Pond5Fish6_TimeLeft,839.405
Type,RT
FishN,17
Fish,7
Pond5Fish7_FishType,purple
