,5e236a025ade0b61f502fd1d
Pond7Fish6_TotalOutcome,866
Pond7Fish6_TimeLeft,123.183
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,62.369
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,866
Pond7Fish7_TimeLeft,112.184
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.913
Pond7Fish8_PondTime,74.733
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,876
Pond7Fish8_TimeLeft,99.819
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.773
Pond7Fish9_PondTime,89.17
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,886
Pond7Fish9_TimeLeft,85.383
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.488
Pond7Fish10_PondTime,106.541
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,896
Pond7Fish10_TimeLeft,68.012
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,19.353
PondTime,125.589
TimeLeft,48.46
PondOutcome,100
TotalOutcome,896
PondStart,PondStart
PondIntroTime,15.186579204164445
Type,N
FishN,16
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,8.65
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,896
Pond2Fish1_TimeLeft,23.998
Type,N
FishN,16
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,0.976
Pond2Fish2_PondTime,15.639
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,907
Pond2Fish2_TimeLeft,17.009
Type,N
FishN,16
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.959
Pond2Fish3_PondTime,23.006
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,918
Pond2Fish3_TimeLeft,9.641
