,5ce90d545b78dd0019cb4543
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.788
Pond5Fish8_PondTime,64.655
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,889
Pond5Fish8_TimeLeft,262.831
Type,N
FishN,17
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.86
Pond5Fish9_PondTime,75.596
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,900
Pond5Fish9_TimeLeft,251.89
Type,N
FishN,17
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,1.006
Pond5Fish10_PondTime,87.969
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,911
Pond5Fish10_TimeLeft,239.518
Type,N
FishN,17
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,1.129
Pond5Fish11_PondTime,102.334
Pond5Fish11_PondOutcome,121
Pond5Fish11_TotalOutcome,922
Pond5Fish11_TimeLeft,225.152
Type,N
FishN,17
Fish,12
Pond5Fish12_FishType,green
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.065
Pond5Fish12_PondTime,119.715
Pond5Fish12_PondOutcome,132
Pond5Fish12_TotalOutcome,933
Pond5Fish12_TimeLeft,207.771
Type,N
FishN,17
Fish,13
Pond5Fish13_FishType,green
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,-1
Pond5Fish13_PondTime,142.154
Pond5Fish13_PondOutcome,132
Pond5Fish13_TotalOutcome,933
Pond5Fish13_TimeLeft,185.333
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,0.834
PondTime,174.427
TimeLeft,152.554
PondOutcome,132
TotalOutcome,933
PondStart,PondStart
PondIntroTime,13.988112774677575
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,0.965
Pond3Fish1_PondTime,8.568
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,945
Pond3Fish1_TimeLeft,129.355
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.93
Pond3Fish2_PondTime,15.549
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,957
Pond3Fish2_TimeLeft,122.374
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.018
Pond3Fish3_PondTime,22.919
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,969
Pond3Fish3_TimeLeft,115.003
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,0.838
Pond3Fish4_PondTime,30.747
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,981
Pond3Fish4_TimeLeft,107.176
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.914
Pond3Fish5_PondTime,39.113
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,993
Pond3Fish5_TimeLeft,98.81
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.889
Pond3Fish6_PondTime,48.147
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1005
Pond3Fish6_TimeLeft,89.775
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.95
Pond3Fish7_PondTime,58.048
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,1017
Pond3Fish7_TimeLeft,79.875
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.932
Pond3Fish8_PondTime,68.996
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,1029
Pond3Fish8_TimeLeft,68.927
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,1.056
Pond3Fish9_PondTime,81.37
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,1041
Pond3Fish9_TimeLeft,56.552
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,0.796
Pond3Fish10_PondTime,95.745
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,1053
Pond3Fish10_TimeLeft,42.178
Type,RD
FishN,18
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,0.829
Pond3Fish11_PondTime,113.109
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,1065
Pond3Fish11_TimeLeft,24.814
Type,RD
FishN,18
Fish,12
Pond3Fish12_FishType,gray
Pond3Fish12_FishLatency,15
Pond3Fish12_CatchTime,0.891
Pond3Fish12_PondTime,135.474
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,1067
Pond3Fish12_TimeLeft,2.449
