,5d8d0f36f5c589001ac56ce2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4
Pond6Fish2_CatchTime,1.085
Pond6Fish2_PondTime,14.969
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,134
Pond6Fish2_TimeLeft,1069.795
Type,RD
FishN,17
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.285714285714286
Pond6Fish3_CatchTime,0.924
Pond6Fish3_PondTime,21.987
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,146
Pond6Fish3_TimeLeft,1062.777
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.615384615384615
Pond6Fish4_CatchTime,0.841
Pond6Fish4_PondTime,29.394
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,158
Pond6Fish4_TimeLeft,1055.369
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,gray
Pond6Fish5_FishLatency,5
Pond6Fish5_CatchTime,1.366
Pond6Fish5_PondTime,37.227
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,160
Pond6Fish5_TimeLeft,1047.537
PondEnd_LastFish,5
FishN,16
Type,RD
GiveUpTime,4.412
PondTime,41.219
TimeLeft,1043.028
PondOutcome,50
TotalOutcome,160
PondStart,PondStart
PondIntroTime,19.052094460930675
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.813
Pond2Fish1_PondTime,8.058
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,172
Pond2Fish1_TimeLeft,1015.306
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,1.072
Pond2Fish2_PondTime,14.482
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,184
Pond2Fish2_TimeLeft,1008.882
Type,RD
FishN,16
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.95
Pond2Fish3_PondTime,21.178
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,196
Pond2Fish3_TimeLeft,1002.186
Type,RD
FishN,16
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.758
Pond2Fish4_PondTime,28.213
Pond2Fish4_PondOutcome,48
Pond2Fish4_TotalOutcome,208
Pond2Fish4_TimeLeft,995.151
Type,RD
FishN,16
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.668
Pond2Fish5_PondTime,35.624
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,220
Pond2Fish5_TimeLeft,987.74
Type,RD
FishN,16
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.051
Pond2Fish6_PondTime,43.47
Pond2Fish6_PondOutcome,62
Pond2Fish6_TotalOutcome,222
Pond2Fish6_TimeLeft,979.894
Type,RD
FishN,16
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,1.401
Pond2Fish7_PondTime,51.866
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,234
Pond2Fish7_TimeLeft,971.498
Type,RD
FishN,16
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,1.743
Pond2Fish8_PondTime,60.964
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,246
Pond2Fish8_TimeLeft,962.4
Type,RD
FishN,16
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,1.403
Pond2Fish9_PondTime,70.861
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,258
Pond2Fish9_TimeLeft,952.503
Type,RD
FishN,16
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,0.871
Pond2Fish10_PondTime,81.814
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,270
Pond2Fish10_TimeLeft,941.55
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,10.662
PondTime,91.553
TimeLeft,931.306
PondOutcome,110
TotalOutcome,270
PondStart,PondStart
PondIntroTime,10.061578929889947
Type,N
FishN,16
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.164
Pond10Fish1_PondTime,8.933
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,281
Pond10Fish1_TimeLeft,911.695
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,0.983
Pond10Fish2_PondTime,16.309
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,292
Pond10Fish2_TimeLeft,904.319
Type,N
FishN,16
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,1.072
Pond10Fish3_PondTime,24.17
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,303
Pond10Fish3_TimeLeft,896.458
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.076
Pond10Fish4_PondTime,32.565
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,314
Pond10Fish4_TimeLeft,888.063
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,0.951
Pond10Fish5_PondTime,41.665
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,325
Pond10Fish5_TimeLeft,878.963
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.102
Pond10Fish6_PondTime,51.545
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,336
Pond10Fish6_TimeLeft,869.083
Type,N
FishN,16
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.964
Pond10Fish7_PondTime,62.493
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,347
Pond10Fish7_TimeLeft,858.135
Type,N
FishN,16
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.15
Pond10Fish8_PondTime,74.876
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,358
Pond10Fish8_TimeLeft,845.752
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.807
PondTime,75.041
TimeLeft,845.084
PondOutcome,88
TotalOutcome,358
PondStart,PondStart
PondIntroTime,15.604788835626096
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.886
Pond9Fish1_PondTime,7.84
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,370
Pond9Fish1_TimeLeft,821.006
Type,RD
FishN,14
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,1.026
Pond9Fish2_PondTime,14.029
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,382
Pond9Fish2_TimeLeft,814.817
Type,RD
FishN,14
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.829
Pond9Fish3_PondTime,20.413
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,394
Pond9Fish3_TimeLeft,808.433
Type,RD
FishN,14
Fish,4
Pond9Fish4_FishType,gray
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.324
Pond9Fish4_PondTime,27.084
Pond9Fish4_PondOutcome,38
Pond9Fish4_TotalOutcome,396
Pond9Fish4_TimeLeft,801.762
Type,RD
FishN,14
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.892
Pond9Fish5_PondTime,34.11
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,408
Pond9Fish5_TimeLeft,794.736
Type,RD
FishN,14
Fish,6
Pond9Fish6_FishType,gray
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.791
Pond9Fish6_PondTime,41.5
Pond9Fish6_PondOutcome,52
Pond9Fish6_TotalOutcome,410
Pond9Fish6_TimeLeft,787.346
Type,RD
FishN,14
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.137
Pond9Fish7_PondTime,49.339
Pond9Fish7_PondOutcome,64
Pond9Fish7_TotalOutcome,422
Pond9Fish7_TimeLeft,779.507
Type,RD
FishN,14
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.968
Pond9Fish8_PondTime,57.743
Pond9Fish8_PondOutcome,76
Pond9Fish8_TotalOutcome,434
Pond9Fish8_TimeLeft,771.103
Type,RD
FishN,14
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.744
Pond9Fish9_PondTime,66.821
Pond9Fish9_PondOutcome,88
Pond9Fish9_TotalOutcome,446
Pond9Fish9_TimeLeft,762.025
PondEnd_LastFish,9
FishN,18
Type,RD
GiveUpTime,6.414
PondTime,72.156
TimeLeft,756.175
PondOutcome,88
TotalOutcome,446
PondStart,PondStart
PondIntroTime,12.935723545961082
Type,RT
FishN,19
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,1.057
Pond11Fish1_PondTime,8.952
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,456
Pond11Fish1_TimeLeft,733.638
Type,RT
FishN,19
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,1.114
Pond11Fish2_PondTime,16.344
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,466
Pond11Fish2_TimeLeft,726.246
Type,RT
FishN,19
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.843
Pond11Fish3_PondTime,24.207
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,476
Pond11Fish3_TimeLeft,718.383
Type,RT
FishN,19
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.269
Pond11Fish4_PondTime,33.314
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,486
Pond11Fish4_TimeLeft,709.276
Type,RT
FishN,19
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.1
Pond11Fish5_PondTime,42.36
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,496
Pond11Fish5_TimeLeft,700.23
PondEnd_LastFish,5
FishN,14
Type,RT
GiveUpTime,0.7
PondTime,42.369
TimeLeft,699.705
PondOutcome,50
TotalOutcome,496
PondStart,PondStart
PondIntroTime,19.461089211981744
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.997
Pond8Fish1_PondTime,8.925
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,507
Pond8Fish1_TimeLeft,670.685
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.121
Pond8Fish2_PondTime,16.309
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,518
Pond8Fish2_TimeLeft,663.301
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.515
Pond8Fish3_PondTime,24.172
Pond8Fish3_PondOutcome,33
