,didi
PlayerDetails,didi
GameCompleted,declined
Selected ponds in the game,=======
Pond3_Type,N
Pond3_#Fishes,13
Pond7_Type,N
Pond7_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 13:53:27 GMT+0100 (Ora standard a Europei Centrale)
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,0.876
Pond7Fish2_PondTime,8.898
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,11
Pond7Fish2_TimeLeft,1193.499
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,8.901
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,11
Pond7Fish2_TimeLeft,1193.496
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,0.798
Pond7Fish4_PondTime,16.719
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,22
Pond7Fish4_TimeLeft,1185.678
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,16.719
Pond7Fish4_PondOutcome,22
Pond7Fish4_TotalOutcome,22
Pond7Fish4_TimeLeft,1185.678
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.093
Pond7Fish6_PondTime,25.77
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,33
Pond7Fish6_TimeLeft,1176.626
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,-1
Pond7Fish6_PondTime,25.771
Pond7Fish6_PondOutcome,33
Pond7Fish6_TotalOutcome,33
Pond7Fish6_TimeLeft,1176.626
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,-1
Pond7Fish8_PondTime,36.853
Pond7Fish8_PondOutcome,33
Pond7Fish8_TotalOutcome,33
Pond7Fish8_TimeLeft,1165.543
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,-1
Pond7Fish8_PondTime,36.855
Pond7Fish8_PondOutcome,33
Pond7Fish8_TotalOutcome,33
Pond7Fish8_TimeLeft,1165.541
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,0.799
Pond7Fish10_PondTime,51.254
Pond7Fish10_PondOutcome,44
Pond7Fish10_TotalOutcome,44
Pond7Fish10_TimeLeft,1151.143
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,-1
Pond7Fish10_PondTime,51.255
Pond7Fish10_PondOutcome,44
Pond7Fish10_TotalOutcome,44
Pond7Fish10_TimeLeft,1151.142
