,5dca4e4e5e2a777494753fd3
PlayerDetails,5dca4e4e5e2a777494753fd3
GameCompleted,finished
Selected ponds in the game,=======
Pond12_Type,RT
Pond12_#Fishes,16
Pond6_Type,RT
Pond6_#Fishes,17
Pond8_Type,RD
Pond8_#Fishes,14
Pond2_Type,N
Pond2_#Fishes,13
Pond7_Type,RT
Pond7_#Fishes,19
Pond4_Type,RT
Pond4_#Fishes,16
Pond3_Type,RT
Pond3_#Fishes,19
Pond5_Type,RD
Pond5_#Fishes,14
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 23:54:45 GMT+1100 (Australian Eastern Daylight Time)
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.219
Pond12Fish1_PondTime,8.263
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,10
Pond12Fish1_TimeLeft,1194.136
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.868
Pond12Fish2_PondTime,14.911
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,20
Pond12Fish2_TimeLeft,1187.488
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.925
Pond12Fish3_PondTime,21.894
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,30
Pond12Fish3_TimeLeft,1180.505
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.861
Pond12Fish4_PondTime,29.261
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,40
Pond12Fish4_TimeLeft,1173.137
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.109
Pond12Fish5_PondTime,37.077
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,60
Pond12Fish5_TimeLeft,1165.322
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.768
Pond12Fish6_PondTime,45.443
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,70
Pond12Fish6_TimeLeft,1156.956
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.359
Pond12Fish7_PondTime,54.468
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,80
Pond12Fish7_TimeLeft,1147.931
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,golden
