,5c9f36824563540012472fc5
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,315
Pond5Fish1_TimeLeft,842.561
Type,N
FishN,17
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.75
Pond5Fish2_CatchTime,1.935
Pond5Fish2_PondTime,19.951
Pond5Fish2_PondOutcome,11
Pond5Fish2_TotalOutcome,326
Pond5Fish2_TimeLeft,835.948
Type,N
FishN,17
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4
Pond5Fish3_CatchTime,0.847
Pond5Fish3_PondTime,26.605
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,337
Pond5Fish3_TimeLeft,829.294
Type,N
FishN,17
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.25
Pond5Fish4_PondTime,33.584
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,348
Pond5Fish4_TimeLeft,822.315
Type,N
FishN,17
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.08
Pond5Fish5_PondTime,40.956
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,359
Pond5Fish5_TimeLeft,814.943
Type,N
FishN,17
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,0.91
Pond5Fish6_PondTime,48.771
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,370
Pond5Fish6_TimeLeft,807.128
PondEnd_LastFish,6
FishN,17
Type,N
GiveUpTime,0.946
PondTime,48.829
TimeLeft,806.567
PondOutcome,55
TotalOutcome,370
PondStart,PondStart
PondIntroTime,11.823757640086114
Type,RT
FishN,19
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.011
Pond11Fish1_PondTime,9.734
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,380
Pond11Fish1_TimeLeft,784.397
Type,RT
FishN,19
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.437
Pond11Fish2_PondTime,18.101
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,390
Pond11Fish2_TimeLeft,776.03
Type,RT
FishN,19
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.867
Pond11Fish3_PondTime,27.135
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,400
Pond11Fish3_TimeLeft,766.996
Type,RT
FishN,19
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.741
Pond11Fish4_PondTime,37.003
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,410
Pond11Fish4_TimeLeft,757.128
Type,RT
FishN,19
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.121
Pond11Fish5_PondTime,47.94
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,420
Pond11Fish5_TimeLeft,746.19
Type,RT
FishN,19
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.768
Pond11Fish6_PondTime,60.31
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,430
Pond11Fish6_TimeLeft,733.821
Type,RT
FishN,19
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,0.9
Pond11Fish7_PondTime,74.677
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,440
Pond11Fish7_TimeLeft,719.454
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,2.156
PondTime,75.924
TimeLeft,717.699
PondOutcome,70
TotalOutcome,440
PondStart,PondStart
PondIntroTime,18.44357809983194
Type,RT
FishN,14
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.728
Pond4Fish1_PondTime,9.737
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,460
Pond4Fish1_TimeLeft,688.904
Type,RT
FishN,14
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.725
Pond4Fish2_PondTime,18.101
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,470
Pond4Fish2_TimeLeft,680.541
Type,RT
FishN,14
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,6
Pond4Fish3_CatchTime,0.892
Pond4Fish3_PondTime,27.135
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,480
Pond4Fish3_TimeLeft,671.507
Type,RT
FishN,14
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6.666666666666667
Pond4Fish4_CatchTime,0.976
Pond4Fish4_PondTime,37.001
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,490
Pond4Fish4_TimeLeft,661.641
Type,RT
FishN,14
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,7.5
Pond4Fish5_CatchTime,0.899
Pond4Fish5_PondTime,47.935
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,500
Pond4Fish5_TimeLeft,650.707
Type,RT
FishN,14
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,8.571428571428571
Pond4Fish6_CatchTime,0.755
Pond4Fish6_PondTime,60.303
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,510
Pond4Fish6_TimeLeft,638.339
Type,RT
FishN,14
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,10
Pond4Fish7_CatchTime,1.012
Pond4Fish7_PondTime,74.671
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,520
Pond4Fish7_TimeLeft,623.971
Type,RT
FishN,14
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,12
Pond4Fish8_CatchTime,1.202
Pond4Fish8_PondTime,92.039
Pond4Fish8_PondOutcome,90
Pond4Fish8_TotalOutcome,530
Pond4Fish8_TimeLeft,606.603
Type,RT
FishN,14
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,15
Pond4Fish9_CatchTime,0.782
Pond4Fish9_PondTime,114.408
Pond4Fish9_PondOutcome,100
Pond4Fish9_TotalOutcome,540
Pond4Fish9_TimeLeft,584.234
Type,RT
FishN,14
Fish,10
Pond4Fish10_FishType,purple
Pond4Fish10_FishLatency,20
Pond4Fish10_CatchTime,1.201
Pond4Fish10_PondTime,146.774
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,550
Pond4Fish10_TimeLeft,551.868
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.675
PondTime,146.863
TimeLeft,551.276
PondOutcome,110
TotalOutcome,550
PondStart,PondStart
PondIntroTime,19.407089203596115
Type,RT
FishN,15
Fish,1
Pond1Fish1_FishType,golden
Pond1Fish1_FishLatency,3.5294117647058822
