,5c9f36824563540012472fc5
Pond6Fish13_TotalOutcome,897
Pond6Fish13_TimeLeft,231.922
Type,RD
FishN,17
Fish,14
Pond6Fish14_FishType,gray
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,0.929
Pond6Fish14_PondTime,119.772
Pond6Fish14_PondOutcome,158
Pond6Fish14_TotalOutcome,899
Pond6Fish14_TimeLeft,217.551
Type,RD
FishN,17
Fish,15
Pond6Fish15_FishType,blue
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,0.9
Pond6Fish15_PondTime,137.143
Pond6Fish15_PondOutcome,170
Pond6Fish15_TotalOutcome,911
Pond6Fish15_TimeLeft,200.18
Type,RD
FishN,17
Fish,16
Pond6Fish16_FishType,blue
Pond6Fish16_FishLatency,15
Pond6Fish16_CatchTime,1.19
Pond6Fish16_PondTime,159.507
Pond6Fish16_PondOutcome,182
Pond6Fish16_TotalOutcome,923
Pond6Fish16_TimeLeft,177.816
Type,RD
FishN,17
Fish,17
Pond6Fish17_FishType,blue
Pond6Fish17_FishLatency,20
Pond6Fish17_CatchTime,1.142
Pond6Fish17_PondTime,191.876
Pond6Fish17_PondOutcome,194
Pond6Fish17_TotalOutcome,935
Pond6Fish17_TimeLeft,145.447
PondEnd_LastFish,17
FishN,19
Type,RD
GiveUpTime,0.697
PondTime,191.921
TimeLeft,144.899
PondOutcome,194
TotalOutcome,935
PondStart,PondStart
PondIntroTime,13.221589035820216
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.993
Pond7Fish1_PondTime,7.6
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,945
Pond7Fish1_TimeLeft,122.913
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.868
Pond7Fish2_PondTime,13.501
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,955
Pond7Fish2_TimeLeft,117.012
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.953
Pond7Fish3_PondTime,19.619
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,965
Pond7Fish3_TimeLeft,110.894
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.093
Pond7Fish4_PondTime,25.983
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,975
Pond7Fish4_TimeLeft,104.53
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.944
Pond7Fish5_PondTime,32.636
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,985
Pond7Fish5_TimeLeft,97.877
PondEnd_LastFish,5
FishN,19
Type,RT
GiveUpTime,1.772
PondTime,33.555
TimeLeft,96.456
PondOutcome,50
TotalOutcome,985
PondStart,PondStart
PondIntroTime,18.543331320397556
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.838
Pond3Fish1_PondTime,9.352
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,997
Pond3Fish1_TimeLeft,66.546
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.2
Pond3Fish2_PondTime,15.474
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,1009
Pond3Fish2_TimeLeft,60.424
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.946
Pond3Fish3_PondTime,21.841
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,1021
Pond3Fish3_TimeLeft,54.056
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.672
Pond3Fish4_PondTime,28.492
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,1033
Pond3Fish4_TimeLeft,47.406
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.718
Pond3Fish5_PondTime,35.472
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,1045
Pond3Fish5_TimeLeft,40.426
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.305
Pond3Fish6_PondTime,42.841
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,1057
Pond3Fish6_TimeLeft,33.057
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.751
Pond3Fish7_PondTime,50.658
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,1069
Pond3Fish7_TimeLeft,25.239
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.91
Pond3Fish8_PondTime,59.035
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,1081
Pond3Fish8_TimeLeft,16.863
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.077
Pond3Fish9_PondTime,68.06
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,1083
Pond3Fish9_TimeLeft,7.838
PondEnd_LastFish,9
FishN,18
Type,RD
GiveUpTime,3.833
PondTime,71.172
TimeLeft,4.223
PondOutcome,98
TotalOutcome,1083
PondStart,PondStart
PondIntroTime,15.84726327797398
