,5d1666ea78167300018d39b7
Pond2Fish5_PondTime,39.136
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,155
Pond2Fish5_TimeLeft,1060.628
Type,N
FishN,16
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.675
Pond2Fish6_PondTime,48.195
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,166
Pond2Fish6_TimeLeft,1051.568
Type,N
FishN,16
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.978
Pond2Fish7_PondTime,58.104
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,177
Pond2Fish7_TimeLeft,1041.66
Type,N
FishN,16
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.039
Pond2Fish8_PondTime,69.064
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,188
Pond2Fish8_TimeLeft,1030.7
Type,N
FishN,16
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.975
Pond2Fish9_PondTime,81.459
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,199
Pond2Fish9_TimeLeft,1018.305
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,0.459
PondTime,95.35
TimeLeft,1003.911
PondOutcome,99
TotalOutcome,199
PondStart,PondStart
PondIntroTime,14.165098401717842
Type,RD
FishN,19
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.567
Pond11Fish1_PondTime,8.921
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,211
Pond11Fish1_TimeLeft,980.186
Type,RD
FishN,19
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.855
Pond11Fish2_PondTime,16.314
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,223
Pond11Fish2_TimeLeft,972.793
Type,RD
FishN,19
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.921
Pond11Fish3_PondTime,24.172
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,235
Pond11Fish3_TimeLeft,964.935
Type,RD
FishN,19
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,1.029
Pond11Fish4_PondTime,32.545
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,247
Pond11Fish4_TimeLeft,956.562
Type,RD
FishN,19
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,1.338
Pond11Fish5_PondTime,41.618
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,259
Pond11Fish5_TimeLeft,947.489
Type,RD
FishN,19
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.906
Pond11Fish6_PondTime,51.483
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,271
Pond11Fish6_TimeLeft,937.624
Type,RD
FishN,19
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.064
Pond11Fish7_PondTime,62.474
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,283
Pond11Fish7_TimeLeft,926.632
Type,RD
FishN,19
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.985
Pond11Fish8_PondTime,74.872
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,295
Pond11Fish8_TimeLeft,914.235
Type,RD
FishN,19
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.94
Pond11Fish9_PondTime,89.251
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,307
Pond11Fish9_TimeLeft,899.856
Type,RD
FishN,19
Fish,10
Pond11Fish10_FishType,gray
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,0.842
Pond11Fish10_PondTime,106.634
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,309
Pond11Fish10_TimeLeft,882.473
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,2.43
PondTime,108.099
TimeLeft,880.505
PondOutcome,110
TotalOutcome,309
PondStart,PondStart
PondIntroTime,19.096816005185246
Type,RD
FishN,16
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.181
Pond10Fish1_PondTime,9.288
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,321
Pond10Fish1_TimeLeft,851.509
Type,RD
FishN,16
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.847
Pond10Fish2_PondTime,17.115
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,333
Pond10Fish2_TimeLeft,843.682
Type,RD
FishN,16
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.06
Pond10Fish3_PondTime,25.492
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,345
Pond10Fish3_TimeLeft,835.305
Type,RD
FishN,16
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,1.078
Pond10Fish4_PondTime,34.517
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,357
Pond10Fish4_TimeLeft,826.28
Type,RD
FishN,16
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.899
Pond10Fish5_PondTime,44.379
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,369
Pond10Fish5_TimeLeft,816.418
Type,RD
FishN,16
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.868
Pond10Fish6_PondTime,55.334
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,381
Pond10Fish6_TimeLeft,805.463
Type,RD
FishN,16
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.987
Pond10Fish7_PondTime,67.729
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,393
Pond10Fish7_TimeLeft,793.068
PondEnd_LastFish,7
FishN,13
Type,RD
GiveUpTime,1.105
PondTime,68.021
TimeLeft,792.273
PondOutcome,84
TotalOutcome,393
PondStart,PondStart
PondIntroTime,11.897495139855891
Type,N
FishN,14
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.735
Pond4Fish1_PondTime,8.06
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,404
Pond4Fish1_TimeLeft,771.674
Type,N
FishN,14
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,1.175
Pond4Fish2_PondTime,14.446
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,415
Pond4Fish2_TimeLeft,765.287
Type,N
FishN,14
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.509
Pond4Fish3_PondTime,21.115
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,426
Pond4Fish3_TimeLeft,758.619
Type,N
FishN,14
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.932
Pond4Fish4_PondTime,28.139
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,437
Pond4Fish4_TimeLeft,751.595
Type,N
FishN,14
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,0.971
Pond4Fish5_PondTime,35.529
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,448
Pond4Fish5_TimeLeft,744.205
Type,N
FishN,14
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.91
Pond4Fish6_PondTime,43.358
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,459
Pond4Fish6_TimeLeft,736.376
Type,N
FishN,14
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,1.252
Pond4Fish7_PondTime,51.761
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,470
Pond4Fish7_TimeLeft,727.973
Type,N
FishN,14
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.103
Pond4Fish8_PondTime,60.808
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,481
Pond4Fish8_TimeLeft,718.926
Type,N
FishN,14
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.832
Pond4Fish9_PondTime,70.67
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,492
Pond4Fish9_TimeLeft,709.064
Type,N
FishN,14
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.43
Pond4Fish10_PondTime,81.596
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,503
Pond4Fish10_TimeLeft,698.138
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,0.522
PondTime,81.752
TimeLeft,697.479
PondOutcome,110
TotalOutcome,503
PondStart,PondStart
PondIntroTime,11.306104739196599
Type,RT
FishN,14
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.724
Pond9Fish1_PondTime,7.824
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,523
Pond9Fish1_TimeLeft,677.734
Type,RT
FishN,14
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,0.968
Pond9Fish2_PondTime,13.96
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,533
Pond9Fish2_TimeLeft,671.598
Type,RT
FishN,14
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.417
Pond9Fish3_PondTime,20.37
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,543
Pond9Fish3_TimeLeft,665.188
Type,RT
FishN,14
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,1.072
Pond9Fish4_PondTime,27.025
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,553
Pond9Fish4_TimeLeft,658.533
Type,RT
FishN,14
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,1.098
Pond9Fish5_PondTime,34.032
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,563
Pond9Fish5_TimeLeft,651.526
Type,RT
FishN,14
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.996
Pond9Fish6_PondTime,41.422
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,573
Pond9Fish6_TimeLeft,644.136
Type,RT
FishN,14
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.74
Pond9Fish7_PondTime,49.248
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,583
Pond9Fish7_TimeLeft,636.309
Type,RT
FishN,14
Fish,8
Pond9Fish8_FishType,purple
