,5d1666ea78167300018d39b7
Pond3Fish5_TotalOutcome,909
Pond3Fish5_TimeLeft,308.32
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.174
Pond3Fish6_PondTime,48.181
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,921
Pond3Fish6_TimeLeft,299.278
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,-1
Pond3Fish7_PondTime,58.091
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,921
Pond3Fish7_TimeLeft,289.368
PondEnd_LastFish,7
FishN,15
Type,RD
GiveUpTime,0.37
PondTime,68.487
TimeLeft,278.47
PondOutcome,62
TotalOutcome,921
PondStart,PondStart
PondIntroTime,10.316277996171266
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.48
Pond5Fish1_PondTime,9.754
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,923
Pond5Fish1_TimeLeft,257.776
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.45
Pond5Fish2_PondTime,18.133
Pond5Fish2_PondOutcome,4
Pond5Fish2_TotalOutcome,925
Pond5Fish2_TimeLeft,249.397
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.764
Pond5Fish3_PondTime,27.173
Pond5Fish3_PondOutcome,16
Pond5Fish3_TotalOutcome,937
Pond5Fish3_TimeLeft,240.357
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,1.695
Pond5Fish4_PondTime,37.068
Pond5Fish4_PondOutcome,28
Pond5Fish4_TotalOutcome,949
Pond5Fish4_TimeLeft,230.462
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.183
Pond5Fish5_PondTime,48.013
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,961
Pond5Fish5_TimeLeft,219.517
PondEnd_LastFish,5
FishN,12
Type,RD
GiveUpTime,0.419
PondTime,59.927
TimeLeft,207.101
PondOutcome,40
TotalOutcome,961
PondStart,PondStart
PondIntroTime,19.67482181964442
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.91
Pond8Fish1_PondTime,7.62
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,972
Pond8Fish1_TimeLeft,179.181
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.568
Pond8Fish2_PondTime,13.551
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,983
Pond8Fish2_TimeLeft,173.251
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.807
Pond8Fish3_PondTime,19.676
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,994
Pond8Fish3_TimeLeft,167.126
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.902
Pond8Fish4_PondTime,26.042
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,1005
Pond8Fish4_TimeLeft,160.76
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.719
Pond8Fish5_PondTime,32.682
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,1016
Pond8Fish5_TimeLeft,154.12
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.618
Pond8Fish6_PondTime,39.703
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,1027
Pond8Fish6_TimeLeft,147.099
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.811
Pond8Fish7_PondTime,47.096
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,1038
Pond8Fish7_TimeLeft,139.705
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.369
Pond8Fish8_PondTime,54.905
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,1049
Pond8Fish8_TimeLeft,131.897
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.755
Pond8Fish9_PondTime,63.262
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,1060
Pond8Fish9_TimeLeft,123.54
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.02
Pond8Fish10_PondTime,72.288
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1071
Pond8Fish10_TimeLeft,114.514
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,0.996
Pond8Fish11_PondTime,82.148
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,1082
Pond8Fish11_TimeLeft,104.654
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.152
Pond8Fish12_PondTime,93.076
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,1093
Pond8Fish12_TimeLeft,93.726
Type,N
FishN,15
Fish,13
Pond8Fish13_FishType,green
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,0.916
Pond8Fish13_PondTime,105.438
Pond8Fish13_PondOutcome,143
Pond8Fish13_TotalOutcome,1104
Pond8Fish13_TimeLeft,81.364
Type,N
FishN,15
Fish,14
Pond8Fish14_FishType,green
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.003
Pond8Fish14_PondTime,119.82
Pond8Fish14_PondOutcome,154
Pond8Fish14_TotalOutcome,1115
Pond8Fish14_TimeLeft,66.982
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.814
PondTime,137.166
TimeLeft,49.134
PondOutcome,154
TotalOutcome,1115
PondStart,PondStart
PondIntroTime,17.745294887572527
Type,RT
FishN,14
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.301
Pond4Fish1_PondTime,7.621
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,1125
Pond4Fish1_TimeLeft,23.157
Type,RT
FishN,14
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.566
Pond4Fish2_PondTime,13.539
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,1145
Pond4Fish2_TimeLeft,17.239
Type,RT
FishN,14
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.712
Pond4Fish3_PondTime,19.68
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,1155
Pond4Fish3_TimeLeft,11.098
Type,RT
FishN,14
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,1.809
Pond4Fish4_PondTime,26.192
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,1165
Pond4Fish4_TimeLeft,4.586
