,5e242ec4c4edc46afd062d55
PlayerDetails,5e242ec4c4edc46afd062d55
GameCompleted,declined
Selected ponds in the game,=======
Pond1_Type,N
Pond1_#Fishes,15
Pond4_Type,N
Pond4_#Fishes,13
Pond3_Type,RT
Pond3_#Fishes,17
Pond8_Type,RT
Pond8_#Fishes,12
Pond10_Type,N
Pond10_#Fishes,12
Pond11_Type,N
Pond11_#Fishes,15
Pond6_Type,RD
Pond6_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Sun Jan 19 2020 15:34:55 GMT+0200 (Eastern European Standard Time)
Type,N
FishN,15
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,1.577
Pond1Fish1_PondTime,8.566
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,11
Pond1Fish1_TimeLeft,1193.832
Type,N
FishN,15
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,0.993
Pond1Fish2_PondTime,15.551
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,22
Pond1Fish2_TimeLeft,1186.848
Type,N
FishN,15
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.123
Pond1Fish3_PondTime,22.915
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,33
Pond1Fish3_TimeLeft,1179.484
Type,N
FishN,15
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,0.819
Pond1Fish4_PondTime,30.734
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,44
Pond1Fish4_TimeLeft,1171.665
Type,N
FishN,15
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,0.964
Pond1Fish5_PondTime,39.1
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,55
Pond1Fish5_TimeLeft,1163.299
Type,N
FishN,15
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,0.986
Pond1Fish6_PondTime,48.133
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,66
Pond1Fish6_TimeLeft,1154.266
Type,N
FishN,15
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,0.953
Pond1Fish7_PondTime,58.001
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,77
Pond1Fish7_TimeLeft,1144.398
Type,N
