,5d9cc7e8d81c510017447d62
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,883
Pond5Fish7_TimeLeft,222.683
Type,RD
FishN,17
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.601
Pond5Fish8_PondTime,64.397
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,895
Pond5Fish8_TimeLeft,212.818
Type,RD
FishN,17
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,0.827
Pond5Fish9_PondTime,75.335
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,907
Pond5Fish9_TimeLeft,201.881
Type,RD
FishN,17
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.823
Pond5Fish10_PondTime,87.697
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,919
Pond5Fish10_TimeLeft,189.519
Type,RD
FishN,17
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.871
Pond5Fish11_PondTime,102.062
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,931
Pond5Fish11_TimeLeft,175.153
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.968
PondTime,102.11
TimeLeft,174.602
PondOutcome,132
TotalOutcome,931
PondStart,PondStart
PondIntroTime,12.28747489163652
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,1.502
Pond12Fish1_PondTime,7.814
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,941
Pond12Fish1_TimeLeft,153.875
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.843
Pond12Fish2_PondTime,13.931
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,951
Pond12Fish2_TimeLeft,147.758
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.117
Pond12Fish3_PondTime,20.298
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,961
Pond12Fish3_TimeLeft,141.391
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.859
Pond12Fish4_PondTime,26.952
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,971
Pond12Fish4_TimeLeft,134.737
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.724
Pond12Fish5_PondTime,33.933
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,981
Pond12Fish5_TimeLeft,127.756
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.166
Pond12Fish6_PondTime,41.299
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,991
Pond12Fish6_TimeLeft,120.389
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,golden
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,0.804
Pond12Fish7_PondTime,49.116
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,1011
Pond12Fish7_TimeLeft,112.573
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.813
Pond12Fish8_PondTime,57.484
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,1021
Pond12Fish8_TimeLeft,104.205
Type,RT
FishN,15
Fish,9
Pond12Fish9_FishType,golden
Pond12Fish9_FishLatency,6
Pond12Fish9_CatchTime,0.734
Pond12Fish9_PondTime,66.514
Pond12Fish9_PondOutcome,110
Pond12Fish9_TotalOutcome,1041
Pond12Fish9_TimeLeft,95.175
Type,RT
FishN,15
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,6.666666666666667
Pond12Fish10_CatchTime,0.875
Pond12Fish10_PondTime,76.399
Pond12Fish10_PondOutcome,120
Pond12Fish10_TotalOutcome,1051
Pond12Fish10_TimeLeft,85.29
Type,RT
FishN,15
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,7.5
Pond12Fish11_CatchTime,0.806
Pond12Fish11_PondTime,87.349
Pond12Fish11_PondOutcome,130
Pond12Fish11_TotalOutcome,1061
Pond12Fish11_TimeLeft,74.34
Type,RT
FishN,15
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,8.571428571428571
Pond12Fish12_CatchTime,0.798
Pond12Fish12_PondTime,99.717
Pond12Fish12_PondOutcome,140
Pond12Fish12_TotalOutcome,1071
Pond12Fish12_TimeLeft,61.972
Type,RT
FishN,15
Fish,13
Pond12Fish13_FishType,purple
Pond12Fish13_FishLatency,10
Pond12Fish13_CatchTime,0.963
Pond12Fish13_PondTime,114.077
Pond12Fish13_PondOutcome,150
Pond12Fish13_TotalOutcome,1081
Pond12Fish13_TimeLeft,47.612
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,0.765
PondTime,131.271
TimeLeft,29.914
PondOutcome,150
TotalOutcome,1081
PondStart,PondStart
PondIntroTime,10.18148320261389
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.396
Pond9Fish1_PondTime,10.179
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1092
Pond9Fish1_TimeLeft,7.582
