,5d9cc7e8d81c510017447d62
Pond6Fish9_TotalOutcome,156
Pond6Fish9_TimeLeft,1046.77
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.933
Pond6Fish10_PondTime,76.425
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,166
Pond6Fish10_TimeLeft,1036.903
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.806
Pond6Fish11_PondTime,87.377
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,176
Pond6Fish11_TimeLeft,1025.951
Type,RT
FishN,17
Fish,12
Pond6Fish12_FishType,golden
Pond6Fish12_FishLatency,8.571428571428571
Pond6Fish12_CatchTime,0.896
Pond6Fish12_PondTime,99.744
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,196
Pond6Fish12_TimeLeft,1013.584
Type,RT
FishN,17
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,10
Pond6Fish13_CatchTime,1.059
Pond6Fish13_PondTime,114.127
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,206
Pond6Fish13_TimeLeft,999.201
Type,RT
FishN,17
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,12
Pond6Fish14_CatchTime,1.055
Pond6Fish14_PondTime,131.494
Pond6Fish14_PondOutcome,150
Pond6Fish14_TotalOutcome,216
Pond6Fish14_TimeLeft,981.833
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,6.383
PondTime,137.134
TimeLeft,975.686
PondOutcome,150
TotalOutcome,216
PondStart,PondStart
PondIntroTime,13.195412480272353
Type,RD
FishN,15
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,1.62
Pond8Fish1_PondTime,9.422
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,228
Pond8Fish1_TimeLeft,950.345
Type,RD
FishN,15
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.252
Pond8Fish2_PondTime,16.409
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,230
Pond8Fish2_TimeLeft,943.358
Type,RD
FishN,15
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.206
Pond8Fish3_PondTime,23.773
Pond8Fish3_PondOutcome,26
Pond8Fish3_TotalOutcome,242
Pond8Fish3_TimeLeft,935.994
Type,RD
FishN,15
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.821
Pond8Fish4_PondTime,31.607
Pond8Fish4_PondOutcome,38
Pond8Fish4_TotalOutcome,254
Pond8Fish4_TimeLeft,928.159
Type,RD
FishN,15
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.888
Pond8Fish5_PondTime,39.969
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,266
Pond8Fish5_TimeLeft,919.797
Type,RD
FishN,15
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.238
