,58752a4b2bd3c90001859e1d
Pond2Fish7_PondTime,62.276
Pond2Fish7_PondOutcome,74
Pond2Fish7_TotalOutcome,173
Pond2Fish7_TimeLeft,1043.593
Type,RD
FishN,16
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.774
Pond2Fish8_PondTime,74.72
Pond2Fish8_PondOutcome,86
Pond2Fish8_TotalOutcome,185
Pond2Fish8_TimeLeft,1031.149
Type,RD
FishN,16
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,0.976
Pond2Fish9_PondTime,89.084
Pond2Fish9_PondOutcome,98
Pond2Fish9_TotalOutcome,197
Pond2Fish9_TimeLeft,1016.785
Type,RD
FishN,16
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.152
Pond2Fish10_PondTime,106.446
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,209
Pond2Fish10_TimeLeft,999.423
Type,RD
FishN,16
Fish,11
Pond2Fish11_FishType,gray
Pond2Fish11_FishLatency,15
Pond2Fish11_CatchTime,1.162
Pond2Fish11_PondTime,128.803
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,211
Pond2Fish11_TimeLeft,977.066
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,0.798
PondTime,128.974
TimeLeft,976.393
PondOutcome,112
TotalOutcome,211
PondStart,PondStart
PondIntroTime,10.02441864926368
Type,RT
FishN,17
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.312
Pond5Fish1_PondTime,8.274
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,221
Pond5Fish1_TimeLeft,957.475
Type,RT
FishN,17
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.841
Pond5Fish2_PondTime,14.918
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,231
Pond5Fish2_TimeLeft,950.831
Type,RT
FishN,17
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.223
Pond5Fish3_PondTime,21.891
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,241
Pond5Fish3_TimeLeft,943.858
Type,RT
FishN,17
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.116
Pond5Fish4_PondTime,29.25
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,251
Pond5Fish4_TimeLeft,936.499
Type,RT
FishN,17
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.442
Pond5Fish5_PondTime,37.067
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,261
Pond5Fish5_TimeLeft,928.682
Type,RT
FishN,17
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.085
Pond5Fish6_PondTime,45.437
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,271
Pond5Fish6_TimeLeft,920.312
Type,RT
FishN,17
Fish,7
Pond5Fish7_FishType,purple
