,5d472a20d7d4b80015384d58
Pond6Fish11_TotalOutcome,884
Pond6Fish11_TimeLeft,239.133
Type,RD
FishN,17
Fish,12
Pond6Fish12_FishType,blue
Pond6Fish12_FishLatency,15
Pond6Fish12_CatchTime,0.649
Pond6Fish12_PondTime,135.392
Pond6Fish12_PondOutcome,134
Pond6Fish12_TotalOutcome,896
Pond6Fish12_TimeLeft,216.769
Type,RD
FishN,17
Fish,13
Pond6Fish13_FishType,blue
Pond6Fish13_FishLatency,20
Pond6Fish13_CatchTime,1.237
Pond6Fish13_PondTime,167.759
Pond6Fish13_PondOutcome,146
Pond6Fish13_TotalOutcome,908
Pond6Fish13_TimeLeft,184.402
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,0.841
PondTime,168.05
TimeLeft,183.607
PondOutcome,146
TotalOutcome,908
PondStart,PondStart
PondIntroTime,16.695347945205867
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,0.961
Pond12Fish1_PondTime,9.734
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,918
Pond12Fish1_TimeLeft,156.539
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,0.956
Pond12Fish2_PondTime,18.108
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,938
Pond12Fish2_TimeLeft,148.165
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.899
Pond12Fish3_PondTime,27.133
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,948
Pond12Fish3_TimeLeft,139.14
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.904
Pond12Fish4_PondTime,37
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,958
Pond12Fish4_TimeLeft,129.273
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,0.964
Pond12Fish5_PondTime,47.934
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,968
Pond12Fish5_TimeLeft,118.339
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,1.261
Pond12Fish6_PondTime,60.299
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,978
Pond12Fish6_TimeLeft,105.974
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,0.895
Pond12Fish7_PondTime,74.666
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,988
Pond12Fish7_TimeLeft,91.607
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,12
Pond12Fish8_CatchTime,1.422
Pond12Fish8_PondTime,92.033
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,998
Pond12Fish8_TimeLeft,74.24
Type,RT
FishN,15
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,15
Pond12Fish9_CatchTime,0.863
Pond12Fish9_PondTime,114.396
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,1008
Pond12Fish9_TimeLeft,51.877
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,0.727
PondTime,146.618
TimeLeft,19.141
PondOutcome,100
TotalOutcome,1008
PondStart,PondStart
PondIntroTime,10.341601755935699
