,dd
PlayerDetails,dd
GameCompleted,exited
Selected ponds in the game,=======
Pond7_Type,RD
Pond7_#Fishes,17
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,30
MissingThreshold,5
RD,GoldFish,Probability,0.1
RD,GoldFish,Outcome,5
RD,BlueFish,Probability,0.2
RD,BlueFish,Outcome,4
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,3
RD,PurpleFish,Probability,0.3
RD,PurpleFish,Outcome,2
RD,GreyFish,Probability,0.4
RD,GreyFish,Outcome,1
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,5
RT,BlueFish,Probability,0.2
RT,BlueFish,Outcome,4
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,3
RT,PurpleFish,Probability,0.3
RT,PurpleFish,Outcome,2
RT,GreyFish,Probability,0.4
RT,GreyFish,Outcome,1
N,GoldFish,Probability,0
N,GoldFish,Outcome,0
N,BlueFish,Probability,0
N,BlueFish,Outcome,0
N,GreenFish,Probability,1
N,GreenFish,Outcome,3
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,0
N,GreyFish,Probability,0
N,GreyFish,Outcome,0
Date:,Tue May 05 2020 15:09:30 GMT+0300 (שעון ישראל (קיץ))
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,1.7647058823529411
Pond7Fish1_CatchTime,1.128
Pond7Fish1_PondTime,6.132
Pond7Fish1_PondOutcome,4
Pond7Fish1_TotalOutcome,4
Pond7Fish1_TimeLeft,1196.267
PondEnd_LastFish,1
FishN,17
Type,RD
GiveUpTime,0.574
PondTime,10.087
TimeLeft,1191.811
PondOutcome,4
TotalOutcome,4
PondStart,PondStart
PondIntroTime,6.2875518463552
